# x xerr y yerr ymodel yresidual
1.104780 0.097300 0.909253 0.174410 1.010488 -0.101235
0.721951 0.219360 0.107940 0.201898 0.640340 -0.532400
1.020790 0.077770 0.846263 0.114030 0.929280 -0.083017
0.132791 0.148160 0.191436 0.149961 0.070697 0.120739
1.001960 0.059715 1.005293 0.138125 0.911074 0.094219
0.590460 0.076480 0.460243 0.222354 0.513205 -0.052962
1.254271 0.093925 1.290283 0.131580 1.155026 0.135257
0.976270 0.069350 0.696043 0.175010 0.886235 -0.190192
0.798881 0.079095 0.585983 0.167505 0.714722 -0.128739
0.068380 0.110505 0.155867 0.133829 0.008421 0.147446
1.212870 0.044705 1.321793 0.135225 1.114997 0.206796
1.244530 0.052710 1.047463 0.240670 1.145608 -0.098145
0.239170 0.137980 0.268773 0.156933 0.173553 0.095220
0.593710 0.082325 0.597543 0.163135 0.516348 0.081195
0.333301 0.177745 0.296693 0.177876 0.264565 0.032128
-0.286460 0.217850 -0.161364 0.151954 -0.334665 0.173301
0.186890 0.087575 0.331093 0.135228 0.123004 0.208089
1.680300 0.093000 0.819063 0.148080 1.566942 -0.747879
-0.002270 0.045195 0.888423 0.052340 -0.059889 0.948312
1.245050 0.055825 1.155813 0.184530 1.146111 0.009701
0.461101 0.067555 0.615233 0.058730 0.388131 0.227102
0.202621 0.073300 0.108514 0.205177 0.138214 -0.029700
1.441300 0.052350 1.151473 0.237785 1.335860 -0.184387
1.639200 0.048550 1.719913 0.058145 1.527204 0.192709
1.031820 0.095960 0.861203 0.213230 0.939945 -0.078742
0.447780 0.070795 0.442443 0.194078 0.375252 0.067191
0.570630 0.160025 0.431593 0.160930 0.494033 -0.062439
0.921160 0.093190 0.989063 0.080700 0.832950 0.156113
0.895570 0.066880 0.582983 0.248445 0.808208 -0.225225
1.124360 0.070210 1.160183 0.132925 1.029419 0.130764
0.424500 0.084090 0.395413 0.174534 0.352744 0.042669
1.355200 0.070000 1.186253 0.140095 1.252612 -0.066359
0.093740 0.108970 0.359803 0.105475 0.032941 0.326862
0.881330 0.082185 1.032013 0.134650 0.794440 0.237573
0.898120 0.098100 0.783363 0.123805 0.810674 -0.027311
0.206531 0.347940 0.183355 0.246143 0.141995 0.041361
0.393510 0.105775 0.531683 0.122130 0.322780 0.208903
1.435300 0.033550 1.484593 0.064000 1.330059 0.154534
1.003020 0.043445 0.827253 0.190740 0.912099 -0.084846
1.093280 0.047005 1.029573 0.127275 0.999369 0.030205
-0.044950 0.130050 0.225874 0.135152 -0.101155 0.327029
1.042060 0.067515 0.846353 0.107165 0.949845 -0.103492
0.295930 0.073635 1.052713 0.076960 0.228432 0.824281
0.272670 0.098700 0.305703 0.137127 0.205943 0.099760
0.099100 0.305545 0.208055 0.270309 0.038123 0.169932
0.636450 0.065780 0.845443 0.124100 0.557672 0.287771
1.001440 0.095925 0.910393 0.191385 0.910571 -0.000178
1.298800 0.109440 1.353073 0.124315 1.198081 0.154992
0.906790 0.052835 0.654313 0.219840 0.819056 -0.164743
0.987770 0.064925 0.806973 0.152060 0.897354 -0.090381
0.844020 0.061235 0.769353 0.176945 0.758366 0.010987
0.957960 0.138465 0.961743 0.124460 0.868532 0.093211
0.715690 0.065470 0.737463 0.059925 0.634287 0.103176
0.920190 0.048370 0.969383 0.109175 0.832013 0.137370
1.243190 0.040530 1.376913 0.051820 1.144313 0.232600
0.202960 0.067970 0.135284 0.191529 0.138542 -0.003258
0.861040 0.048645 1.005873 0.150925 0.774822 0.231051
1.474500 0.041300 1.579333 0.170025 1.367960 0.211373
-0.143650 0.135580 -0.090689 0.162611 -0.196586 0.105897
-0.192640 0.154265 -0.537743 0.201180 -0.243953 -0.293790
0.140850 0.080645 0.275763 0.129581 0.078490 0.197273
-0.850500 0.248700 -0.627078 0.164819 -0.880020 0.252942
-0.126210 0.200045 -0.339833 0.190775 -0.179724 -0.160109
0.191900 0.215250 -0.009892 0.172373 0.127849 -0.137741
0.476521 0.092490 0.270383 0.181054 0.403041 -0.132658
0.495200 0.090235 -0.174505 0.179412 0.421101 -0.595606
-0.241770 0.084535 -0.272085 0.165704 -0.291455 0.019370
-0.047270 0.049755 -0.097927 0.053726 -0.103398 0.005471
-0.330330 0.121395 -0.564387 0.202071 -0.377081 -0.187306
0.115610 0.139260 0.252533 0.136241 0.054086 0.198447
0.252720 0.067995 0.343623 0.045200 0.186654 0.156969
1.152010 0.046690 1.245203 0.048550 1.056153 0.189050
-0.331470 0.305045 0.137232 0.206485 -0.378183 0.515415
-0.226560 0.072300 -0.086299 0.065666 -0.276749 0.190450
0.121850 0.120875 0.169685 0.151396 0.060119 0.109566
-0.010380 0.125815 -0.044264 0.183047 -0.067730 0.023466
0.289610 0.177455 0.367143 0.130233 0.222322 0.144821
0.284310 0.034665 0.214697 0.065439 0.217198 -0.002501
0.535960 0.085190 0.278413 0.163985 0.460511 -0.182098
0.587730 0.249380 0.281033 0.218592 0.510566 -0.229533
-0.806540 0.194550 -0.995583 0.210988 -0.837516 -0.158067
0.102910 0.118290 0.258643 0.115842 0.041807 0.216836
0.191560 0.064205 0.511273 0.073500 0.127520 0.383753
-0.722810 0.069620 -0.491095 0.105909 -0.756560 0.265465
1.638400 0.081050 0.758233 0.148390 1.526431 -0.768198
1.701200 0.042650 1.604793 0.073295 1.587151 0.017642
-0.040299 0.155695 -0.016161 0.148948 -0.096659 0.080498
-0.760580 0.421110 -0.881325 0.235694 -0.793079 -0.088246
0.952830 0.051780 1.093493 0.051885 0.863572 0.229921
-0.532790 0.179305 -0.239378 0.151027 -0.572835 0.333457
0.308890 0.049315 0.567833 0.104880 0.240963 0.326870
0.310160 0.052445 0.562013 0.108060 0.242191 0.319822
