# id outlier x sx y sy covxy corrxy
1 0 9.849780 0.097300 1.672560 0.174410 -0.008953 -0.563240
3 1 9.466950 0.219360 0.871247 0.201898 -0.045732 -0.848040
4 0 9.765790 0.077770 1.609570 0.114030 -0.001028 -0.106310
5 0 8.877790 0.148160 0.954743 0.149961 -0.008595 -0.408170
6 0 9.746960 0.059715 1.768600 0.138125 -0.003531 -0.371780
7 0 9.335460 0.076480 1.223550 0.222354 -0.007904 -0.512660
9 0 9.999270 0.093925 2.053590 0.131580 -0.006852 -0.617860
10 0 9.721270 0.069350 1.459350 0.175010 -0.006354 -0.512890
11 0 9.543880 0.079095 1.349290 0.167505 -0.005330 -0.413240
12 0 8.813380 0.110505 0.919174 0.133829 -0.005313 -0.382290
13 0 9.957870 0.044705 2.085100 0.135225 -0.000487 -0.079932
17 0 9.989530 0.052710 1.810770 0.240670 -0.004675 -0.387480
18 0 8.984170 0.137980 1.032080 0.156933 -0.007858 -0.396880
20 0 9.338710 0.082325 1.360850 0.163135 -0.002263 -0.193570
24 0 9.078300 0.177745 1.060000 0.177876 -0.015608 -0.516880
25 0 8.458540 0.217850 0.601943 0.151954 -0.016908 -0.585050
26 0 8.931890 0.087575 1.094400 0.135228 -0.002056 -0.194800
27 1 10.425300 0.093000 1.582370 0.148080 -0.009064 -0.701360
28 1 8.742730 0.045195 1.651730 0.052340 0.000764 0.298010
30 0 9.990050 0.055825 1.919120 0.184530 -0.002093 -0.150360
32 0 9.206100 0.067555 1.378540 0.058730 0.000361 0.072135
34 0 8.947620 0.073300 0.871821 0.205177 -0.001836 -0.126600
35 0 10.186300 0.052350 1.914780 0.237785 -0.004146 -0.355350
36 0 10.384200 0.048550 2.483220 0.058145 -0.000127 -0.037547
38 0 9.776820 0.095960 1.624510 0.213230 -0.010393 -0.597950
39 0 9.192780 0.070795 1.205750 0.194078 -0.002505 -0.203040
45 0 9.315630 0.160025 1.194900 0.160930 -0.015015 -0.635060
46 0 9.666160 0.093190 1.752370 0.080700 0.000879 0.072403
47 0 9.640570 0.066880 1.346290 0.248445 -0.009023 -0.610980
48 0 9.869360 0.070210 1.923490 0.132925 -0.004104 -0.484540
49 0 9.169500 0.084090 1.158720 0.174534 -0.004111 -0.306040
51 0 10.100200 0.070000 1.949560 0.140095 -0.003825 -0.414650
54 0 8.838740 0.108970 1.123110 0.105475 -0.006111 -0.545960
57 0 9.626330 0.082185 1.795320 0.134650 -0.003415 -0.355030
60 0 9.643120 0.098100 1.546670 0.123805 -0.008772 -0.666180
61 0 8.951530 0.347940 0.946662 0.246143 -0.055892 -0.840540
62 0 9.138510 0.105775 1.294990 0.122130 -0.005173 -0.417720
63 0 10.180300 0.033550 2.247900 0.064000 -0.000049 -0.011487
64 0 9.748020 0.043445 1.590560 0.190740 -0.000322 -0.034328
