# id outlier x sx y sy covxy corrxy
1 0 9.849780 0.097300 1.779520 0.086825 -0.004291 -0.460470
3 0 9.466950 0.219360 0.994904 0.161364 -0.036207 -0.868900
4 0 9.765790 0.077770 1.709500 0.052025 -0.000309 -0.057933
5 0 8.877790 0.148160 0.996408 0.107306 -0.002685 -0.182420
6 0 9.746960 0.059715 1.796870 0.106785 -0.002389 -0.367090
7 0 9.335460 0.076480 1.299660 0.135345 -0.004657 -0.483250
9 0 9.999270 0.093925 2.099230 0.081860 -0.003044 -0.420900
10 0 9.721270 0.069350 1.581180 0.091640 -0.003940 -0.527580
11 0 9.543880 0.079095 1.447400 0.091150 -0.003165 -0.418500
12 0 8.813380 0.110505 0.952742 0.096038 -0.001374 -0.139060
13 0 9.957870 0.044705 2.105870 0.105165 0.000118 0.027391
17 0 9.989530 0.052710 1.881320 0.150875 -0.003359 -0.443130
18 0 8.984170 0.137980 1.082630 0.103277 -0.002220 -0.169340
20 0 9.338710 0.082325 1.409700 0.107610 -0.000111 -0.014724
24 0 9.078300 0.177745 1.128020 0.106170 -0.007168 -0.361980
25 0 8.458540 0.217850 0.646854 0.101460 -0.006936 -0.334630
26 0 8.931890 0.087575 1.112670 0.113520 -0.000264 -0.030734
27 1 10.425300 0.093000 1.683410 0.140710 -0.009688 -0.783360
28 1 8.742730 0.045195 1.651730 0.052340 0.000764 0.298010
30 0 9.990050 0.055825 1.973240 0.113670 -0.001346 -0.157200
32 0 9.206100 0.067555 1.382550 0.057245 0.000571 0.133910
34 0 8.947620 0.073300 0.933939 0.131019 -0.000502 -0.054248
35 0 10.186300 0.052350 1.999040 0.128405 -0.003449 -0.513360
36 0 10.384200 0.048550 2.490520 0.051935 0.000030 0.011029
38 0 9.776820 0.095960 1.732480 0.116950 -0.005084 -0.503410
39 0 9.192780 0.070795 1.249130 0.129510 -0.000801 -0.099113
45 0 9.315630 0.160025 1.282520 0.077795 -0.006757 -0.488780
46 0 9.666160 0.093190 1.757790 0.087945 0.000325 0.030573
47 0 9.640570 0.066880 1.431780 0.162300 -0.006401 -0.653470
48 0 9.869360 0.070210 1.967530 0.084200 -0.001363 -0.239250
49 0 9.169500 0.084090 1.222860 0.106695 -0.000732 -0.086363
51 0 10.100200 0.070000 2.057760 0.061810 -0.001260 -0.250900
54 0 8.838740 0.108970 1.130940 0.099785 -0.004575 -0.467360
57 0 9.626330 0.082185 1.813430 0.111900 -0.001846 -0.240280
60 0 9.643120 0.098100 1.640190 0.055030 -0.003196 -0.434430
61 0 8.951530 0.347940 1.018890 0.164339 -0.037533 -0.820000
62 0 9.138510 0.105775 1.317610 0.096920 -0.002180 -0.228620
63 0 10.180300 0.033550 2.263500 0.053055 0.000038 0.012917
64 0 9.748020 0.043445 1.606530 0.135625 -0.001768 -0.271150
65 0 9.838280 0.047005 1.807230 0.112900 -0.001372 -0.237480
66 0 8.700050 0.130050 1.003260 0.118482 -0.007749 -0.574160
69 0 9.787060 0.067515 1.726360 0.045585 -0.001299 -0.356460
70 1 9.040930 0.073635 1.816080 0.076970 -0.003525 -0.563760
71 0 9.017670 0.098700 1.117930 0.085105 -0.001927 -0.227450
72 0 8.844100 0.305545 1.025940 0.197959 -0.040852 -0.782410
74 0 9.381450 0.065780 1.614710 0.116070 -0.002160 -0.332200
75 0 9.746440 0.095925 1.745480 0.115450 -0.002686 -0.257330
78 0 10.043800 0.109440 2.158540 0.077965 -0.004240 -0.471520
79 0 9.651790 0.052835 1.483090 0.147525 -0.004493 -0.603770
82 0 9.732770 0.064925 1.665540 0.082190 -0.002233 -0.372220
83 0 9.589020 0.061235 1.604000 0.101580 -0.001424 -0.248860
84 0 9.702960 0.138465 1.771700 0.076215 -0.004932 -0.458710
85 0 9.460690 0.065470 1.499900 0.080050 0.000120 0.020780
86 0 9.665190 0.048370 1.753750 0.084990 0.000215 0.055848
88 0 9.988190 0.040530 2.143590 0.050180 0.000006 0.002655
89 0 8.947960 0.067970 0.970640 0.115189 -0.000016 -0.002249
90 0 9.606040 0.048645 1.786910 0.116830 0.000615 0.127790
92 0 10.219500 0.041300 2.372020 0.119690 -0.000231 -0.053391
93 0 8.601350 0.135580 0.713949 0.112806 0.000303 0.022184
96 0 8.552360 0.154265 0.219736 0.183908 -0.015839 -0.318540
97 0 8.885850 0.080645 1.057620 0.105668 -0.000718 -0.092567
98 0 7.894500 0.248700 0.170817 0.121532 -0.013286 -0.523060
99 0 8.618790 0.200045 0.516440 0.116154 -0.015245 -0.642010
100 0 8.936900 0.215250 0.849644 0.093099 -0.014890 -0.623050
101 0 9.221520 0.092490 1.127110 0.092045 -0.001950 -0.229020
103 1 9.240200 0.090235 0.635345 0.105911 -0.003047 -0.237050
105 0 8.503230 0.084535 0.533125 0.111514 -0.000406 -0.046383
106 0 8.697730 0.049755 0.597452 0.116466 -0.002383 -0.400700
107 0 8.414670 0.121395 0.257955 0.120547 -0.007068 -0.430150
112 0 8.860610 0.139260 1.036510 0.113921 0.001369 0.103310
113 0 8.997720 0.067995 1.111480 0.043755 0.000400 0.112430
114 0 9.897010 0.046690 2.015720 0.045595 0.000554 0.213280
116 0 8.413530 0.305045 0.925457 0.178500 -0.049742 -0.804600
117 0 8.518440 0.072300 0.683598 0.063268 0.000745 0.152550
118 0 8.866850 0.120875 0.968439 0.109298 0.000608 0.047918
119 0 8.734620 0.125815 0.777865 0.117857 -0.000831 -0.063405
120 0 9.034610 0.177455 1.180490 0.075420 -0.006274 -0.482090
121 0 9.029310 0.034665 0.822860 0.207211 -0.001662 -0.169070
122 0 9.280960 0.085190 1.106550 0.116419 -0.005495 -0.542470
124 0 9.332730 0.249380 1.160780 0.137385 -0.028048 -0.857060
125 0 7.938460 0.194550 -0.141310 0.137723 -0.015148 -0.517830
126 0 8.847910 0.118290 1.038290 0.099050 -0.000449 -0.043844
129 0 8.936560 0.064205 1.275430 0.073500 -0.000991 -0.210980
132 0 8.022190 0.069620 0.274523 0.103181 -0.001359 -0.214970
133 1 10.383400 0.081050 1.536890 0.123195 -0.005429 -0.578180
135 0 10.446200 0.042650 2.151860 0.268865 -0.009960 -0.479910
137 0 8.704700 0.155695 0.800301 0.092488 -0.003552 -0.254090
138 0 7.984420 0.421110 -0.038119 0.165401 -0.023781 -0.393320
139 0 9.697830 0.051780 1.860950 0.050125 0.000184 0.064530
140 0 8.212210 0.179305 0.539012 0.132915 -0.011168 -0.507770
142 0 9.053890 0.049315 1.331870 0.104695 -0.000286 -0.062614
143 0 9.055160 0.052445 1.326020 0.107835 0.000156 0.031251
