# id x_refit sx_refit y_refit sy_refit sx_refit2 sy_refit2 covxy_refit corrxy_refit sigxp2 sigyp2 theta
70 0.882810 0.060555 0.886285 0.259110 0.003667 0.067138 -0.007459 -0.347040 0.068003 0.002802 -83.386482
71 0.217259 0.060225 0.411765 0.170958 0.003627 0.029227 -0.004224 -0.284460 0.029906 0.002948 -80.867813
72 -0.601920 0.021270 -0.323775 0.058821 0.000452 0.003460 -0.000017 -0.069241 0.003460 0.000452 -89.680176
73 0.905990 0.034800 1.022615 0.206625 0.001211 0.042694 -0.001157 -0.110310 0.042726 0.001179 -88.403610
74 0.701890 0.029715 0.764485 0.157250 0.000883 0.024728 -0.002054 -0.530520 0.024903 0.000707 -85.111748
75 0.014979 0.066830 -0.191484 0.272283 0.004466 0.074138 -0.000371 -0.010539 0.074140 0.004464 -89.695198
77 0.304110 0.032340 0.473375 0.183255 0.001046 0.033582 -0.002705 -0.582580 0.033806 0.000822 -85.278900
78 -1.525250 0.060850 -1.226872 0.128415 0.003703 0.016491 -0.001604 -0.110810 0.016689 0.003505 -82.960274
79 0.477989 0.036105 0.626135 0.168295 0.001304 0.028323 0.000869 0.072955 0.028351 0.001276 88.159248
81 0.661699 0.072820 0.405765 0.244607 0.005303 0.059833 0.011797 0.246780 0.062276 0.002860 78.301445
82 0.287860 0.075940 0.094086 0.244925 0.005767 0.059988 -0.002001 -0.203150 0.060062 0.005693 -87.888939
83 0.531280 0.054605 0.898935 0.078135 0.002982 0.006105 -0.003313 -0.262350 0.008206 0.000881 -57.618481
86 -0.125670 0.039845 0.375145 0.018215 0.001588 0.000332 0.000001 0.037338 0.001588 0.000332 0.052125
87 0.286240 0.041635 0.082250 0.069563 0.001733 0.004839 -0.000123 -0.192990 0.004844 0.001729 -87.726631
90 -0.199491 0.057420 0.110818 0.096011 0.003297 0.009218 -0.000531 -0.259550 0.009265 0.003250 -84.919151
92 0.017710 0.023780 0.039647 0.123372 0.000565 0.015221 -0.000502 -0.354340 0.015238 0.000548 -88.038879
93 0.367280 0.019425 0.583795 0.079790 0.000377 0.006366 -0.000107 -0.212080 0.006368 0.000375 -88.980240
94 1.383189 0.044600 1.372755 0.229765 0.001989 0.052792 -0.001497 -0.125460 0.052836 0.001945 -88.313843
95 -0.502661 0.041620 -0.180468 0.112475 0.001732 0.012651 -0.001313 -0.313060 0.012806 0.001577 -83.238770
96 0.564890 0.020640 0.850645 0.065870 0.000426 0.004339 -0.000035 -0.146240 0.004339 0.000426 -89.487076
97 0.906489 0.020210 1.153105 0.084680 0.000408 0.007171 -0.000078 -0.242840 0.007172 0.000408 -89.341675
98 0.122499 0.062780 0.245082 0.138484 0.003941 0.019178 -0.001562 -0.067812 0.019336 0.003783 -84.205467
99 0.389859 0.020970 0.423545 0.117000 0.000440 0.013689 0.005013 0.389810 0.015372 -0.001243 71.442207
103 -1.153511 0.069695 -1.146110 0.153562 0.004857 0.023581 -0.006419 -0.176220 0.025570 0.002868 -72.781891
104 0.497700 0.040480 0.575115 0.200145 0.001639 0.040058 -0.000478 -0.074546 0.040064 0.001633 -89.287811
106 0.625979 0.056125 0.517015 0.214165 0.003150 0.045867 0.001721 0.059874 0.045936 0.003081 87.696198
109 -0.638520 0.209625 -0.812776 0.476382 0.043943 0.226939 -0.074503 -0.564750 0.253435 0.017447 -70.422806
112 0.181660 0.055810 -0.265399 0.153432 0.003115 0.023541 -0.002582 -0.463510 0.023863 0.002793 -82.906494
115 -1.209970 0.121015 -1.333462 0.216693 0.014645 0.046956 0.004644 0.058037 0.047610 0.013990 81.981674
116 -0.452971 0.073335 -0.621105 0.303331 0.005378 0.092010 -0.007304 -0.165290 0.092621 0.004767 -85.214432
117 1.239389 0.082200 0.862205 0.227600 0.006757 0.051802 -0.003311 -0.108680 0.052044 0.006515 -85.818703
118 0.974489 0.034200 0.404325 0.152238 0.001170 0.023176 -0.002143 -0.211370 0.023383 0.000963 -84.489563
120 0.686489 0.029735 0.785115 0.191715 0.000884 0.036755 0.003729 0.228860 0.037138 0.000501 84.126732
121 0.971889 0.035950 1.109395 0.137495 0.001292 0.018905 0.000312 0.130110 0.018910 0.001287 88.984558
122 0.504109 0.067765 0.822495 0.101540 0.004592 0.010310 -0.000179 -0.143370 0.010316 0.004586 -88.208794
123 0.330440 0.066160 0.222837 0.264410 0.004377 0.069912 -0.003944 -0.115880 0.070149 0.004141 -86.568016
124 0.367920 0.033675 0.337325 0.203117 0.001134 0.041257 0.009041 0.380090 0.043199 -0.000809 77.870651
125 0.809950 0.034210 0.964535 0.174590 0.001170 0.030482 -0.000706 -0.293090 0.030499 0.001153 -88.621841
126 0.044660 0.063135 0.087365 0.257991 0.003986 0.066559 -0.003497 -0.108900 0.066754 0.003791 -86.811523
127 -0.656640 0.051995 -0.136905 0.080842 0.002703 0.006535 -0.000530 -0.318670 0.006607 0.002631 -82.263420
128 0.292840 0.074310 0.295425 0.240915 0.005522 0.058040 -0.007391 -0.174270 0.059061 0.004502 -82.139458
131 0.114630 0.075505 -0.022257 0.233067 0.005701 0.054320 -0.001338 -0.032396 0.054357 0.005664 -88.424812
132 0.918090 0.069670 0.562625 0.191960 0.004854 0.036849 0.030742 0.458180 0.055507 -0.013804 58.745667
133 0.048249 0.037490 0.336865 0.110103 0.001405 0.012123 -0.000488 -0.301030 0.012145 0.001383 -87.398720
135 0.088070 0.064835 -0.060233 0.224704 0.004204 0.050492 -0.000242 -0.010069 0.050493 0.004202 -89.700294
137 0.090710 0.082085 -0.276944 0.214153 0.006738 0.045861 0.002990 0.057040 0.046088 0.006511 85.654793
138 -0.296680 0.095400 -0.265755 0.155633 0.009101 0.024222 -0.001481 -0.033441 0.024366 0.008957 -84.456833
141 -0.154500 0.028245 0.243677 0.029793 0.000798 0.000888 -0.000021 -0.355760 0.000892 0.000793 -77.481239
142 0.404429 0.071020 0.146284 0.217548 0.005044 0.047327 0.006015 0.220160 0.048166 0.004205 82.058968
143 0.111890 0.050445 0.224548 0.244886 0.002545 0.059969 -0.002397 -0.115570 0.060069 0.002445 -87.613701
144 -0.983360 0.152880 -1.070205 0.266694 0.023372 0.071126 -0.003211 -0.039113 0.071341 0.023157 -86.170822
145 -0.570050 0.061330 -0.121660 0.039619 0.003761 0.001570 -0.000079 -0.190700 0.003764 0.001567 -2.050997
147 -0.209391 0.035940 0.157025 0.045726 0.001292 0.002091 -0.000032 -0.262230 0.002092 0.001290 -87.679863
150 1.020289 0.034450 1.007695 0.136210 0.001187 0.018553 -0.000147 -0.100140 0.018554 0.001186 -89.514229
151 0.505110 0.036685 0.614075 0.228420 0.001346 0.052176 -0.002760 -0.200060 0.052325 0.001196 -86.900490
152 0.067450 0.072645 -0.172141 0.165731 0.005277 0.027467 -0.001630 -0.445300 0.027586 0.005158 -85.820763
153 0.377640 0.029140 0.584285 0.101710 0.000849 0.010345 0.000027 0.010979 0.010345 0.000849 89.835960
155 -0.054481 0.052015 0.224713 0.232536 0.002706 0.054073 -0.004770 -0.338870 0.054512 0.002266 -84.739212
156 0.706550 0.056645 0.852835 0.216150 0.003209 0.046721 -0.009160 -0.359080 0.048570 0.001359 -78.584015
157 1.044189 0.016700 1.297215 0.045665 0.000279 0.002085 -0.003191 -0.378360 0.004499 -0.002135 -52.901276
158 -0.742741 0.100045 -1.002185 0.374850 0.010009 0.140513 -0.016370 -0.447680 0.142535 0.007987 -82.958305
159 -0.455590 0.116910 -0.635278 0.387057 0.013668 0.149813 -0.022439 -0.585550 0.153416 0.010065 -80.878021
160 -0.723841 0.075950 -0.343688 0.168847 0.005768 0.028509 -0.002237 -0.122830 0.028727 0.005550 -84.434700
163 -0.224561 0.041505 -0.035851 0.120014 0.001723 0.014403 -0.003049 -0.426060 0.015098 0.001028 -77.158813
165 -0.139920 0.103030 -0.043149 0.261750 0.010615 0.068513 0.001093 0.021160 0.068533 0.010595 88.918373
166 0.031039 0.073740 -0.066209 0.204123 0.005438 0.041666 -0.005973 -0.139100 0.042626 0.004478 -80.875183
167 -0.783311 0.096870 -0.953265 0.360934 0.009384 0.130273 -0.013632 -0.383760 0.131791 0.007866 -83.645386
170 0.185019 0.055145 0.134068 0.192067 0.003041 0.036890 -0.003799 -0.466660 0.037311 0.002620 -83.674088
171 -0.137900 0.034720 0.345375 0.016710 0.001205 0.000279 0.000001 0.048106 0.001205 0.000279 0.068420
172 -0.089081 0.044740 -0.028458 0.266903 0.002002 0.071237 -0.003988 -0.312130 0.071466 0.001773 -86.713982
173 1.057489 0.036850 1.155495 0.185450 0.001358 0.034392 -0.000328 -0.026081 0.034395 0.001355 -89.430580
174 0.340529 0.016485 0.579145 0.060060 0.000272 0.003607 -0.000023 -0.047192 0.003607 0.000272 -89.612312
176 1.573290 0.043550 1.508585 0.135285 0.001897 0.018302 -0.000100 -0.036353 0.018303 0.001896 -89.652367
177 0.515300 0.021520 0.783675 0.070585 0.000463 0.004982 -0.000038 -0.178570 0.004983 0.000463 -89.514252
178 0.697390 0.060225 1.041605 0.083220 0.003627 0.006926 -0.004825 -0.338990 0.010376 0.000177 -54.434875
181 -0.884010 0.188290 -1.080839 0.428290 0.035453 0.183432 -0.036648 -0.320190 0.192011 0.026874 -76.825066
182 -0.211640 0.030990 0.075962 0.090464 0.000960 0.008184 -0.000292 -0.438180 0.008196 0.000949 -87.689346
183 0.614120 0.041140 0.200602 0.187375 0.001692 0.035109 0.019439 0.501070 0.044034 -0.007232 65.339973
184 0.402940 0.065900 0.218088 0.239393 0.004343 0.057309 0.001978 0.124870 0.057383 0.004269 87.864273
186 0.047090 0.038980 0.529575 0.027820 0.001519 0.000774 -0.000002 -0.042630 0.001519 0.000774 -0.140232
187 0.713429 0.107625 0.682725 0.310250 0.011583 0.096255 -0.018906 -0.428640 0.100285 0.007553 -77.967934
188 -0.084741 0.069175 -0.095153 0.150336 0.004785 0.022601 -0.002685 -0.089806 0.022997 0.004389 -81.611908
189 0.133499 0.035490 0.147787 0.140684 0.001260 0.019792 -0.000758 -0.268520 0.019823 0.001229 -87.660522
190 0.459530 0.091470 0.142610 0.267239 0.008367 0.071417 -0.018673 -0.336750 0.076532 0.003252 -74.680351
191 0.067760 0.032560 0.375805 0.093980 0.001060 0.008832 -0.000200 -0.293000 0.008837 0.001055 -88.530350
192 0.395769 0.027180 0.593365 0.119250 0.000739 0.014221 -0.001738 -0.390780 0.014441 0.000518 -82.771179
195 -0.276060 0.029525 -0.130109 0.150470 0.000872 0.022641 -0.000669 -0.437740 0.022662 0.000851 -88.241394
196 0.987690 0.046800 0.952775 0.188415 0.002190 0.035500 -0.000838 -0.276560 0.035521 0.002169 -88.560181
197 0.117980 0.072105 0.028594 0.233450 0.005199 0.054499 -0.004492 -0.542740 0.054905 0.004793 -84.836075
198 -0.005240 0.034100 0.123548 0.207480 0.001163 0.043048 -0.008131 -0.503060 0.044571 -0.000360 -79.391136
200 1.458389 0.036950 1.054605 0.180920 0.001365 0.032732 0.004820 0.313240 0.033456 0.000641 81.457893
201 0.019879 0.077190 -0.163920 0.262966 0.005958 0.069151 -0.005205 -0.319550 0.069577 0.005532 -85.322281
203 -0.278041 0.074915 -0.413646 0.213497 0.005612 0.045581 0.007765 0.167120 0.047036 0.004157 79.383156
204 -0.497411 0.033975 -0.237106 0.072067 0.001154 0.005194 -0.003022 -0.393190 0.006808 -0.000460 -61.879395
205 1.430790 0.113450 0.889485 0.207840 0.012871 0.043197 -0.031009 -0.419130 0.062552 -0.006484 -58.029224
207 0.517839 0.055475 0.370955 0.150728 0.003077 0.022719 -0.000501 -0.176500 0.022732 0.003065 -88.540466
209 0.269030 0.031985 0.439165 0.171075 0.001023 0.029267 0.000021 0.003086 0.029267 0.001023 89.958107
210 0.676049 0.042620 0.723285 0.212160 0.001816 0.045012 0.001674 0.088892 0.045077 0.001752 87.784103
212 0.322980 0.020360 0.603265 0.062520 0.000415 0.003909 -0.000018 -0.107330 0.003909 0.000414 -89.709206
213 0.834419 0.027010 0.907205 0.133330 0.000730 0.017777 -0.004458 -0.636850 0.018872 -0.000366 -76.193840
215 0.333170 0.042150 0.313825 0.180349 0.001777 0.032526 -0.001410 -0.487800 0.032590 0.001712 -87.379677
216 0.195550 0.103220 -0.041673 0.377901 0.010654 0.142809 -0.022428 -0.560440 0.146512 0.006952 -80.625870
218 -0.486590 0.033510 -0.308255 0.108683 0.001123 0.011812 -0.006499 -0.567150 0.014882 -0.001947 -64.716881
220 0.192380 0.062620 0.213231 0.250193 0.003921 0.062597 -0.005810 -0.209450 0.063166 0.003351 -84.398689
221 0.183129 0.068660 -0.018870 0.237413 0.004714 0.056365 0.001895 0.083604 0.056435 0.004645 87.901215
222 0.973189 0.016050 1.240365 0.060490 0.000258 0.003659 -0.000029 -0.173340 0.003659 0.000257 -89.510391
223 -0.242021 0.055330 -0.318813 0.187634 0.003061 0.035207 -0.000136 -0.020667 0.035207 0.003061 -89.757576
225 0.304270 0.050415 0.783565 0.031550 0.002542 0.000995 -0.000007 -0.065145 0.002542 0.000995 -0.246404
226 -0.719840 0.092135 -0.909616 0.143029 0.008489 0.020457 0.002216 0.044980 0.020854 0.008092 79.839508
227 -0.067181 0.038865 -0.098727 0.146762 0.001510 0.021539 -0.000605 -0.278510 0.021557 0.001492 -88.270988
228 -0.061280 0.106515 -0.192885 0.288467 0.011345 0.083213 -0.020065 -0.409540 0.088436 0.006123 -75.410835
229 0.207350 0.044070 0.645715 0.028300 0.001942 0.000801 -0.000015 -0.114990 0.001942 0.000801 -0.756438
231 0.797549 0.040210 0.901215 0.183590 0.001617 0.033705 -0.000688 -0.043080 0.033720 0.001602 -88.771446
233 0.048900 0.074720 0.274515 0.190709 0.005583 0.036370 -0.007735 -0.329890 0.038204 0.003749 -76.660896
235 0.145840 0.103415 -0.325336 0.278791 0.010695 0.077725 -0.012542 -0.645080 0.079995 0.008425 -79.741562
236 1.426590 0.019550 1.466775 0.111535 0.000382 0.012440 0.000401 0.092418 0.012453 0.000369 88.096405
237 0.780339 0.016750 1.050815 0.051170 0.000281 0.002618 -0.000007 -0.057715 0.002618 0.000281 -89.817688
238 -0.485870 0.057645 -0.564697 0.257458 0.003323 0.066285 -0.002541 -0.102260 0.066387 0.003221 -87.692940
239 -0.085330 0.037650 -0.029533 0.188105 0.001418 0.035383 -0.002302 -0.595830 0.035539 0.001262 -86.140038
240 0.272490 0.086275 0.457515 0.222073 0.007443 0.049317 -0.006257 -0.214650 0.050232 0.006528 -81.679993
242 0.040339 0.052325 0.506255 0.031240 0.002738 0.000976 -0.000006 -0.054713 0.002738 0.000976 -0.202906
243 0.290359 0.078610 0.285125 0.232741 0.006180 0.054168 -0.010188 -0.322240 0.056241 0.004106 -78.496933
244 1.118290 0.051150 1.397005 0.135800 0.002616 0.018442 -0.000382 -0.190320 0.018451 0.002607 -88.616623
245 0.663139 0.055070 0.643315 0.279440 0.003033 0.078087 -0.002047 -0.066238 0.078142 0.002977 -88.439178
246 1.095889 0.061200 0.839745 0.149350 0.003745 0.022305 0.025960 0.482840 0.040594 -0.014543 54.835289
247 -0.343101 0.109960 -0.684882 0.249249 0.012091 0.062125 0.018278 0.226020 0.068091 0.006125 71.923592
248 0.583179 0.019465 0.871505 0.063540 0.000379 0.004037 -0.000032 -0.188760 0.004038 0.000379 -89.504730
249 0.457979 0.135430 -0.089600 0.281357 0.018341 0.079161 -0.036445 -0.411610 0.096217 0.001285 -64.920990
250 1.011689 0.070500 0.856935 0.280720 0.004970 0.078804 -0.000125 -0.004978 0.078804 0.004970 -89.902725
251 -0.882610 0.097150 -1.286930 0.292574 0.009438 0.085599 0.005510 0.078378 0.085996 0.009042 85.883636
253 0.020010 0.089645 -0.118569 0.337521 0.008036 0.113920 -0.017180 -0.381650 0.116638 0.005318 -81.010704
254 -0.509021 0.066915 -0.394833 0.247490 0.004478 0.061251 -0.007061 -0.342970 0.062116 0.003613 -83.015625
255 -0.198831 0.063325 -0.347628 0.191589 0.004010 0.036706 -0.001476 -0.049599 0.036773 0.003944 -87.419792
256 0.227320 0.069980 0.075351 0.291689 0.004897 0.085082 -0.005981 -0.174200 0.085526 0.004454 -85.757729
258 -0.403100 0.072980 -0.505331 0.311479 0.005326 0.097019 -0.005907 -0.140080 0.097398 0.004947 -86.329147
259 0.054449 0.064060 -0.036722 0.220209 0.004104 0.048492 -0.001778 -0.051667 0.048563 0.004033 -87.710129
260 -0.193320 0.026140 0.144572 0.050605 0.000683 0.002561 -0.000031 -0.243100 0.002561 0.000683 -89.063454
261 -0.538940 0.062025 -0.417700 0.253800 0.003847 0.064415 -0.006663 -0.275590 0.065139 0.003123 -83.796036
263 0.091479 0.065365 0.349255 0.159262 0.004273 0.025364 -0.003846 -0.202080 0.026044 0.003593 -79.982231
265 0.558359 0.083595 0.421935 0.324906 0.006988 0.105564 -0.007891 -0.242400 0.106192 0.006360 -85.452171
266 1.266290 0.023200 0.807805 0.221425 0.000538 0.049029 0.014500 0.374430 0.053034 -0.003467 74.559196
267 -0.418720 0.047440 0.019627 0.031235 0.002251 0.000976 -0.000018 -0.149580 0.002251 0.000975 -0.802945
268 -0.356131 0.105710 -0.754130 0.283132 0.011175 0.080163 -0.018304 -0.284680 0.084719 0.006619 -76.023972
269 0.382720 0.043665 0.329635 0.203586 0.001907 0.041447 0.006138 0.238270 0.042378 0.000976 81.375450
270 -0.218571 0.069510 -0.291168 0.205786 0.004832 0.042348 -0.008505 -0.256420 0.044186 0.002993 -77.804504
271 -0.691211 0.046230 -0.356930 0.074961 0.002137 0.005619 -0.001255 -0.367260 0.006025 0.001732 -72.104904
