# id outlier x sx y sy covxy corrxy
1 0 9.561000 0.115690 1.506660 0.182695 -0.004829 -0.271080
7 0 9.627880 0.056140 1.659560 0.075880 -0.004561 -0.498070
11 0 9.670460 0.052515 1.460980 0.276360 -0.002794 -0.118340
12 0 9.719630 0.044090 1.834650 0.045685 0.000024 0.009388
18 0 9.612060 0.037210 1.741000 0.025365 0.000399 0.122430
21 0 9.733570 0.027585 1.715530 0.051815 -0.000201 -0.112730
23 0 10.073300 0.037150 2.133580 0.063740 -0.002937 -0.417370
24 0 9.478410 0.031850 1.493590 0.042895 -0.000341 -0.188420
27 0 9.121570 0.048855 1.276800 0.034330 0.000929 0.435110
29 0 9.490360 0.073055 1.676890 0.070625 -0.000380 -0.056450
30 0 9.667640 0.041595 1.570070 0.137625 -0.002697 -0.295560
31 0 10.003300 0.043245 2.043390 0.032665 -0.002175 -0.346580
32 0 10.006600 0.021815 1.954390 0.050370 -0.000272 -0.223740
33 0 10.504300 0.052600 2.522350 0.045375 -0.002317 -0.169640
34 0 10.462900 0.043550 2.266350 0.156355 -0.005809 -0.374790
35 0 9.117210 0.033855 1.262100 0.027960 0.000185 0.155210
37 0 10.016400 0.040210 1.984330 0.078115 -0.002312 -0.450300
39 0 9.426180 0.046095 1.523090 0.025620 -0.000065 -0.052983
41 0 9.687230 0.043035 1.782020 0.027540 -0.000512 -0.097436
45 0 9.179370 0.086910 1.039860 0.179664 -0.003330 -0.238930
46 0 10.059100 0.024450 2.070940 0.024880 0.000794 0.225520
47 0 9.585540 0.034940 1.641280 0.028725 -0.000217 -0.190610
48 0 9.845340 0.058300 1.553980 0.269720 -0.008942 -0.572900
49 0 9.909890 0.045145 1.711480 0.239720 -0.004275 -0.384460
51 0 8.889400 0.108555 0.909953 0.164114 -0.003037 -0.194250
52 0 9.083540 0.069285 0.897929 0.160442 -0.006473 -0.588840
53 0 8.680560 0.119080 0.808257 0.128388 -0.008123 -0.556600
55 0 9.922240 0.045905 1.989700 0.032840 -0.000049 -0.028200
56 0 9.721170 0.034810 1.744070 0.039520 0.000510 0.116500
57 0 9.696190 0.040665 1.567930 0.250030 -0.005438 -0.464500
58 0 8.694540 0.142340 0.214776 0.401760 -0.034241 -0.750970
59 0 9.741500 0.045465 1.769230 0.050515 -0.000913 -0.221100
60 0 9.822340 0.044050 1.954960 0.035125 -0.000057 -0.028453
61 0 9.524130 0.037265 1.822780 0.041495 0.000072 0.038426
66 0 9.175880 0.059145 1.292160 0.059755 0.000096 0.018222
67 0 9.383720 0.035240 1.519260 0.023790 0.000231 0.174450
71 0 11.011700 0.032900 2.724920 0.120925 -0.003280 -0.617640
73 0 9.108570 0.072590 1.188900 0.161835 -0.002274 -0.213670
74 0 9.664340 0.037240 1.753250 0.025335 0.000356 0.112180
