# x xerr y yerr ymodel yresidual
1.451590 0.068300 0.494365 0.221060 1.120525 -0.626160
0.575239 0.091605 1.093445 0.164315 0.340564 0.752881
0.484449 0.090435 0.518595 0.271672 0.259760 0.258835
0.127540 0.084035 0.331321 0.186985 -0.057894 0.389215
1.444889 0.058700 1.992405 0.148860 1.114562 0.877843
0.626289 0.124225 1.087735 0.090320 0.385999 0.701736
-0.032670 0.038260 0.647395 0.027870 -0.200482 0.847877
-0.444671 0.126040 -0.516906 0.274395 -0.567167 0.050262
1.680090 0.071600 -0.016486 0.774966 1.323893 -1.340379
-0.052501 0.083295 -1.202798 0.355760 -0.218132 -0.984666
0.060550 0.030015 0.498545 0.151174 -0.117516 0.616060
0.246650 0.098135 0.001516 0.227580 0.048116 -0.046600
1.600789 0.060900 0.097895 0.600672 1.253314 -1.155419
-0.617001 0.052640 0.190404 0.071297 -0.720543 0.910947
0.996989 0.067750 1.391625 0.181540 0.715926 0.675699
1.176390 0.077700 0.719585 0.145985 0.875594 -0.156009
0.628599 0.045110 1.271155 0.031995 0.388055 0.883100
0.954889 0.076685 0.946095 0.156265 0.678456 0.267639
0.014420 0.023315 -0.122101 0.225943 -0.158572 0.036471
-0.732861 0.092265 -0.353070 0.186813 -0.823659 0.470589
-0.117961 0.095190 0.043407 0.147833 -0.276392 0.319799
-0.040360 0.031335 0.303618 0.186931 -0.207327 0.510945
-0.337151 0.087660 0.050727 0.178977 -0.471473 0.522200
0.195049 0.106675 0.513735 0.179095 0.002191 0.511544
0.319369 0.037105 0.359444 0.194935 0.112837 0.246607
0.002529 0.023035 -0.034048 0.166819 -0.169154 0.135106
0.322430 0.027645 0.915695 0.061465 0.115561 0.800135
-0.405190 0.059435 -1.967445 0.573179 -0.532029 -1.435416
-0.201691 0.064185 0.411267 0.085019 -0.350912 0.762179
1.273990 0.043550 1.013025 0.192590 0.962459 0.050566
0.927389 0.015350 0.874405 0.140470 0.653981 0.220424
0.739559 0.069960 1.131165 0.163510 0.486810 0.644355
0.339660 0.022270 0.661175 0.169470 0.130895 0.530280
-1.025411 0.138690 -1.136923 0.324428 -1.084032 -0.052891
0.083779 0.100660 -0.053274 0.221490 -0.096841 0.043567
-0.214830 0.041560 -0.039557 0.154383 -0.362607 0.323050
-0.388301 0.083305 -0.392144 0.204134 -0.516997 0.124853
-0.222051 0.088125 0.047263 0.131520 -0.369033 0.416296
0.781420 0.046730 0.791035 0.145410 0.524067 0.266968
0.336679 0.036545 -1.000293 0.211995 0.128243 -1.128536
-0.085751 0.065780 -0.562545 0.185981 -0.247724 -0.314820
0.292410 0.093980 0.061854 0.176327 0.088843 -0.026989
-0.352350 0.067325 -0.590671 0.161557 -0.485001 -0.105670
-0.097760 0.033250 -0.317748 0.232146 -0.258413 -0.059335
1.697289 0.028250 1.829225 0.097860 1.339201 0.490024
