# id outlier x sx y sy covxy corrxy
1 0 10.552700 0.068300 1.016700 0.221060 0.007772 0.451560
2 0 9.676350 0.091605 1.615780 0.164315 -0.011551 -0.776920
3 0 9.585560 0.090435 1.040930 0.271672 -0.019771 -0.844800
4 0 9.228650 0.084035 0.853656 0.186985 -0.014292 -0.809660
5 0 10.546000 0.058700 2.514740 0.148860 -0.005958 -0.695100
6 0 9.727400 0.124225 1.610070 0.090320 -0.011211 -0.840620
7 0 9.068440 0.038260 1.169730 0.027870 -0.000242 -0.143710
8 0 8.656440 0.126040 0.005429 0.274395 -0.028107 -0.908700
9 1 10.781200 0.071600 0.505849 0.774966 0.010686 0.139300
10 0 9.048610 0.083295 -0.680463 0.355760 0.011826 0.337490
12 0 9.161660 0.030015 1.020880 0.151174 -0.002204 -0.497880
13 0 9.347760 0.098135 0.523851 0.227580 -0.018127 -0.811980
14 0 10.701900 0.060900 0.620230 0.600672 -0.002285 -0.034292
15 0 8.484110 0.052640 0.712739 0.071297 -0.002324 -0.616540
17 0 10.098100 0.067750 1.913960 0.181540 -0.009468 -0.764230
19 0 10.277500 0.077700 1.241920 0.145985 -0.002708 -0.250010
20 0 9.729710 0.045110 1.793490 0.031995 -0.000973 -0.322140
21 0 10.056000 0.076685 1.468430 0.156265 -0.011384 -0.855930
22 0 9.115530 0.023315 0.400234 0.225943 -0.001977 -0.294130
23 0 8.368250 0.092265 0.169265 0.186813 -0.013513 -0.829620
24 0 8.983150 0.095190 0.565742 0.147833 -0.012881 -0.892000
25 0 9.060750 0.031335 0.825953 0.186931 -0.008997 -0.799370
26 0 8.763960 0.087660 0.573062 0.178977 -0.012787 -0.852330
28 0 9.296160 0.106675 1.036070 0.179095 -0.016353 -0.847320
29 0 9.420480 0.037105 0.881779 0.194935 -0.008283 -0.782480
30 0 9.103640 0.023035 0.488287 0.166819 -0.003170 -0.614970
32 0 9.423540 0.027645 1.438030 0.061465 -0.000869 -0.406830
33 1 8.695920 0.059435 -1.445110 0.573179 0.007602 0.198470
35 0 8.899420 0.064185 0.933602 0.085019 -0.003322 -0.556000
36 0 10.375100 0.043550 1.535360 0.192590 -0.002814 -0.289310
37 0 10.028500 0.015350 1.396740 0.140470 -0.000781 -0.337670
38 0 9.840670 0.069960 1.653500 0.163510 -0.009989 -0.843420
39 0 9.440770 0.022270 1.183510 0.169470 -0.003076 -0.673210
41 0 8.075700 0.138690 -0.614588 0.324428 -0.032283 -0.736180
43 0 9.184890 0.100660 0.469061 0.221490 -0.017969 -0.877700
44 0 8.886280 0.041560 0.482778 0.154383 -0.005669 -0.794220
45 0 8.712810 0.083305 0.130191 0.204134 -0.013399 -0.800150
46 0 8.879060 0.088125 0.569598 0.131520 -0.011365 -0.888390
50 0 9.882530 0.046730 1.313370 0.145410 -0.005160 -0.710130
51 0 9.437790 0.036545 -0.477958 0.211995 0.001689 0.177540
52 0 9.015360 0.065780 -0.040210 0.185981 -0.002356 -0.187520
53 0 9.393520 0.093980 0.584189 0.176327 -0.012562 -0.801220
55 0 8.748760 0.067325 -0.068336 0.161557 -0.006853 -0.656290
56 0 9.003350 0.033250 0.204587 0.232146 -0.003494 -0.354500
