# x xerr y yerr ymodel yresidual
0.988175 0.056250 1.120425 0.135205 0.903237 0.217188
1.032775 0.108100 0.841935 0.190395 0.944318 -0.102383
0.239765 0.103310 0.446735 0.052540 0.213872 0.232863
0.032295 0.066415 0.343305 0.129295 0.022770 0.320535
0.462965 0.073325 0.213715 0.270148 0.419463 -0.205748
0.115135 0.066900 0.308085 0.122425 0.099075 0.209010
0.056135 0.057575 0.251725 0.185885 0.044729 0.206996
0.876875 0.040450 0.848845 0.170950 0.800718 0.048127
0.862525 0.064445 0.721145 0.117190 0.787500 -0.066355
0.265115 0.041355 0.169325 0.213029 0.237222 -0.067897
0.698895 0.016390 0.464065 0.145705 0.636780 -0.172715
0.100945 0.038730 -0.522938 0.325494 0.086004 -0.608942
0.706155 0.053100 0.755105 0.162035 0.643466 0.111639
0.324105 0.085225 0.092486 0.151021 0.291558 -0.199072
-0.045444 0.087130 0.266455 0.119339 -0.048836 0.315291
-0.054285 0.059555 -0.088711 0.207867 -0.056979 -0.031732
0.164385 0.062760 0.585315 0.062285 0.144439 0.440876
1.781875 0.045400 1.975565 0.158230 1.634318 0.341247
-0.108905 0.066290 0.215225 0.107180 -0.107290 0.322515
0.211705 0.095525 0.047493 0.274960 0.188026 -0.140533
0.784725 0.050410 1.090965 0.139885 0.715838 0.375127
1.285775 0.038600 1.398595 0.232510 1.177358 0.221237
0.823265 0.035450 0.874915 0.154840 0.751337 0.123578
1.234875 0.068200 0.892195 0.138965 1.130473 -0.238278
1.631975 0.107400 1.145195 0.232690 1.496245 -0.351050
0.313715 0.060655 0.571135 0.130715 0.281988 0.289147
0.761155 0.028590 0.877355 0.164770 0.694127 0.183228
0.388285 0.060895 0.777425 0.054825 0.350674 0.426751
-0.066785 0.051110 0.174655 0.151883 -0.068493 0.243148
0.072235 0.079180 0.162807 0.187961 0.059559 0.103248
0.530985 0.066570 0.259315 0.170136 0.482116 -0.222801
-0.157195 0.071360 0.223605 0.126991 -0.151771 0.375376
0.534585 0.035085 0.907285 0.029810 0.485432 0.421853
0.130645 0.071395 0.550635 0.038260 0.113361 0.437274
0.222685 0.042460 0.380355 0.186655 0.198139 0.182216
-0.365515 0.078445 0.120307 0.080100 -0.343655 0.463962
0.328185 0.049100 0.732485 0.056915 0.295316 0.437169
0.366505 0.045495 0.716325 0.065820 0.330612 0.385713
0.146305 0.064370 0.587065 0.034875 0.127785 0.459280
0.110305 0.045815 0.596015 0.064640 0.094625 0.501390
-0.960705 0.147300 -0.640164 0.073330 -0.891888 0.251724
0.050275 0.069750 0.236985 0.142716 0.039331 0.197654
1.048375 0.095750 1.329115 0.155300 0.958688 0.370427
0.872575 0.039560 0.640565 0.116515 0.796757 -0.156192
0.676645 0.067625 -0.038527 0.146406 0.616285 -0.654812
-0.070935 0.120575 0.135088 0.062002 -0.072316 0.207404
-0.185735 0.147280 -0.131942 0.104263 -0.178059 0.046117
0.562675 0.048145 0.107281 0.220689 0.511307 -0.404026
-0.027395 0.054365 0.394285 0.034095 -0.032211 0.426496
0.136175 0.067600 0.426765 0.147840 0.118455 0.308310
0.058425 0.074190 0.026743 0.159387 0.046838 -0.020095
0.670625 0.056995 0.902625 0.173845 0.610739 0.291886
1.599276 0.040600 0.648415 0.419390 1.466125 -0.817710
1.229575 0.064150 0.845025 0.136165 1.125592 -0.280567
0.568105 0.040110 0.783705 0.169060 0.516308 0.267397
0.837185 0.052615 1.259825 0.050415 0.764159 0.495666
0.429515 0.037650 0.856505 0.023820 0.388652 0.467853
1.081475 0.109100 0.939965 0.260985 0.989176 -0.049211
0.768185 0.048115 0.994265 0.163575 0.700602 0.293663
1.131175 0.061950 1.190415 0.198250 1.034955 0.155460
0.205005 0.098010 -0.459229 0.177195 0.181854 -0.641083
-0.007375 0.079060 -0.307402 0.179963 -0.013770 -0.293632
1.011476 0.043400 1.131775 0.173345 0.924699 0.207076
0.130816 0.058755 0.513595 0.039165 0.113518 0.400077
0.441665 0.070450 0.402975 0.118495 0.399843 0.003132
0.948375 0.023950 0.722725 0.153125 0.866577 -0.143852
0.728285 0.049875 0.803805 0.133825 0.663850 0.139955
0.077146 0.101600 0.422145 0.067245 0.064082 0.358063
0.978476 0.063100 -1.034473 0.656532 0.894303 -1.928776
0.803185 0.045875 1.161325 0.044085 0.732842 0.428483
-0.015025 0.069030 0.295505 0.140241 -0.020817 0.316322
-0.138065 0.074655 -0.662386 0.240530 -0.134150 -0.528236
0.876075 0.047570 0.897915 0.182420 0.799981 0.097934
0.246215 0.081220 -0.025416 0.189563 0.219813 -0.245229
0.931475 0.045950 0.930245 0.188360 0.851010 0.079235
0.147745 0.076935 0.565955 0.135155 0.129112 0.436843
0.497055 0.061290 0.237305 0.118685 0.450863 -0.213558
0.878875 0.047025 1.203145 0.110525 0.802560 0.400585
1.505675 0.096000 0.673645 0.171085 1.379909 -0.706264
-0.072335 0.083370 -0.171667 0.255381 -0.073606 -0.098061
-0.377835 0.051875 -0.051682 0.092427 -0.355004 0.303322
0.586966 0.041570 0.675915 0.171770 0.533680 0.142235
1.389775 0.033600 -0.542896 0.709757 1.273153 -1.816049
-0.448825 0.071900 -0.210975 0.174963 -0.420392 0.209417
0.626125 0.040910 0.621005 0.182550 0.569751 0.051254
0.886675 0.050840 -0.620457 0.697182 0.809744 -1.430202
-0.867705 0.170525 -0.636724 0.114563 -0.806226 0.169502
1.332875 0.057550 1.403695 0.187690 1.220742 0.182953
0.607055 0.044980 0.754035 0.200335 0.552185 0.201850
1.933275 0.046500 1.416885 0.139960 1.773774 -0.356889
0.715225 0.093665 1.044235 0.180070 0.651821 0.392414
-0.059885 0.087185 0.220015 0.121679 -0.062138 0.282153
-0.400875 0.062430 0.144566 0.048988 -0.376226 0.520792
0.437165 0.034270 0.752405 0.076970 0.395698 0.356707
-0.542745 0.175730 -0.278493 0.074224 -0.506903 0.228410
1.192676 0.028800 1.241035 0.171280 1.091604 0.149432
1.149776 0.025550 0.968125 0.158195 1.052088 -0.083963
0.026995 0.066380 0.200605 0.223243 0.017888 0.182717
0.551975 0.042785 0.871435 0.094315 0.501451 0.369984
0.575365 0.047765 0.370325 0.151755 0.522995 -0.152670
0.547485 0.088995 0.457155 0.112100 0.497315 -0.040160
0.314605 0.072430 -0.106086 0.175189 0.282807 -0.388893
0.380715 0.042690 0.363195 0.152605 0.343702 0.019493
-0.222795 0.093590 -0.057608 0.058686 -0.212195 0.154587
1.613475 0.044350 -0.434298 0.140350 1.479204 -1.913502
-0.156825 0.086175 -0.234628 0.217208 -0.151430 -0.083198
1.163176 0.022300 1.306525 0.137840 1.064431 0.242094
0.153075 0.092990 0.408765 0.152185 0.134021 0.274744
0.200675 0.051490 0.385615 0.171605 0.177866 0.207749
0.876375 0.074520 1.053915 0.260805 0.800257 0.253658
0.138535 0.065440 0.569445 0.036240 0.120629 0.448816
0.307905 0.050765 0.686605 0.043810 0.276636 0.409969
0.670055 0.049655 1.006585 0.075280 0.610215 0.396370
0.465005 0.047825 0.649225 0.165400 0.421342 0.227883
0.425845 0.060645 0.489365 0.071115 0.385271 0.104094
1.721675 0.021200 1.318615 0.134575 1.578868 -0.260253
0.082015 0.039255 0.162326 0.199379 0.068567 0.093759
0.499065 0.082895 0.896485 0.117175 0.452715 0.443770
0.114785 0.053655 0.560445 0.049890 0.098752 0.461693
0.783805 0.057810 1.125315 0.097125 0.714990 0.410325
0.894775 0.050365 0.882785 0.166025 0.817206 0.065579
-0.228365 0.083880 -0.318215 0.273697 -0.217325 -0.100890
0.348866 0.085535 0.728475 0.102900 0.314365 0.414110
0.484965 0.047415 0.890165 0.027830 0.439727 0.450438
0.722595 0.025830 0.809405 0.163955 0.658610 0.150795
0.325405 0.075240 0.629215 0.180245 0.292755 0.336460
0.362395 0.054260 0.476015 0.214045 0.326827 0.149188
-0.041915 0.028070 -0.398214 0.190849 -0.045585 -0.352629
0.594405 0.046325 0.577425 0.116365 0.540533 0.036892
1.601475 0.061450 0.803395 0.135840 1.468151 -0.664756
0.369215 0.050415 0.833695 0.031730 0.333109 0.500586
