# id outlier x sx y sy covxy corrxy
1 0 10.125200 0.056250 1.860590 0.213080 -0.004614 -0.402370
2 0 10.169800 0.108100 1.605040 0.247485 -0.018726 -0.719520
3 0 9.376790 0.103310 1.156750 0.121055 -0.007530 -0.571370
4 0 9.169320 0.066415 1.161370 0.131845 -0.005772 -0.367240
5 0 9.599990 0.073325 1.187600 0.296849 -0.016971 -0.883880
6 0 9.252160 0.066900 1.044260 0.205168 -0.005970 -0.507220
7 0 9.193160 0.057575 1.028120 0.265662 -0.006876 -0.486880
8 0 10.013900 0.040450 1.769720 0.212480 -0.004180 -0.375650
10 0 9.999550 0.064445 1.447220 0.195830 -0.007914 -0.613080
12 0 9.402140 0.041355 1.111640 0.259144 -0.009953 -0.784880
13 0 9.835920 0.016390 1.667260 0.058265 -0.000304 -0.255760
15 0 9.237970 0.038730 0.848190 0.168336 -0.005611 -0.455330
16 0 9.843180 0.053100 1.547920 0.245420 -0.006810 -0.533600
18 0 9.461130 0.085225 0.837819 0.211641 -0.013048 -0.758290
19 0 9.091580 0.087130 1.101450 0.105467 -0.003513 -0.275390
20 0 9.082740 0.059555 0.746175 0.297320 -0.012356 -0.691810
21 0 9.301410 0.062760 1.411140 0.068285 -0.001043 -0.177020
22 0 10.918900 0.045400 2.746200 0.247230 0.000512 0.050167
23 0 9.028120 0.066290 1.039490 0.101041 -0.006713 -0.523360
24 0 9.348730 0.095525 0.886350 0.375659 -0.024942 -0.815690
25 0 9.921750 0.050410 1.905120 0.140455 -0.003573 -0.295890
26 0 10.422800 0.038600 2.242850 0.254140 -0.011408 -0.823550
27 0 9.960290 0.035450 1.721060 0.210680 -0.004856 -0.545730
28 0 10.371900 0.068200 1.771000 0.248990 -0.011205 -0.767580
29 0 10.769000 0.107400 2.086300 0.367345 -0.026819 -0.875030
30 0 9.450740 0.060655 1.407370 0.112505 -0.000478 -0.048845
32 0 9.898180 0.028590 1.784770 0.092820 -0.004339 -0.665410
33 0 9.525310 0.060895 1.596230 0.055225 0.000417 0.050157
34 0 9.070240 0.051110 1.006890 0.130488 -0.006371 -0.586450
35 0 9.209260 0.079180 0.938249 0.266883 -0.008740 -0.435790
38 0 9.668010 0.066570 1.174350 0.312836 -0.014535 -0.817950
39 0 8.979830 0.071360 1.020660 0.173386 -0.001573 -0.138050
40 0 9.671610 0.035085 1.737260 0.032380 -0.000980 -0.325610
41 0 9.267670 0.071395 1.385280 0.036090 0.000335 0.098922
42 0 9.359710 0.042460 1.209590 0.197211 -0.006568 -0.614440
44 0 8.771510 0.078445 0.946148 0.084178 0.000876 0.106910
45 0 9.465210 0.049100 1.558800 0.062705 -0.000554 -0.127280
48 0 9.503530 0.045495 1.535910 0.059195 -0.000320 -0.046279
50 0 9.283330 0.064370 1.413650 0.035610 0.000624 0.093752
53 0 9.247330 0.045815 1.421760 0.066525 -0.001025 -0.253700
54 0 8.176320 0.147300 0.106203 0.148353 -0.012562 -0.561770
55 0 9.187300 0.069750 1.016510 0.223252 0.000708 0.051726
58 0 10.185400 0.095750 2.141000 0.205900 -0.000458 -0.015936
62 0 10.009600 0.039560 1.567990 0.250120 -0.005075 -0.499240
63 0 9.813670 0.067625 1.144000 0.164466 -0.008552 -0.894290
64 0 9.066090 0.120575 0.854137 0.134558 -0.009648 -0.607300
65 0 8.951290 0.147280 0.583635 0.168608 -0.014636 -0.595310
68 0 9.699700 0.048145 1.303470 0.201865 -0.008821 -0.812120
69 0 9.109630 0.054365 1.227790 0.034280 0.000302 0.110400
73 0 9.273200 0.067600 1.237810 0.162345 -0.007645 -0.565340
74 0 9.195450 0.074190 0.766319 0.254943 -0.011869 -0.649510
75 0 9.807650 0.056995 1.681670 0.256040 -0.007385 -0.557270
77 0 10.736300 0.040600 2.255420 0.149935 -0.004552 -0.414140
79 0 10.366600 0.064150 1.766760 0.235480 -0.010621 -0.785260
81 0 9.705130 0.040110 1.615630 0.146550 -0.004184 -0.476270
84 0 9.974210 0.052615 2.069670 0.051085 -0.004014 -0.404240
85 0 9.566540 0.037650 1.688790 0.024375 -0.000209 -0.142980
86 0 10.218500 0.109100 1.725030 0.345685 -0.027541 -0.828840
87 0 9.905210 0.048115 1.786870 0.233515 -0.007286 -0.590260
88 0 10.268200 0.061950 1.976320 0.271350 -0.012317 -0.757300
89 1 9.342030 0.098010 0.241624 0.156360 -0.015898 -0.895500
90 0 9.129650 0.079060 0.504884 0.218560 -0.011679 -0.665290
91 0 10.148500 0.043400 1.948590 0.219890 -0.003667 -0.221730
92 0 9.267840 0.058755 1.347180 0.038765 0.000064 0.021567
93 0 9.578690 0.070450 1.110360 0.189603 -0.009590 -0.690310
94 0 10.085400 0.023950 1.813920 0.164030 -0.003983 -0.665860
96 0 9.865310 0.049875 1.578320 0.200965 -0.004834 -0.499260
98 0 9.214170 0.101600 1.186360 0.127395 -0.006261 -0.494370
100 0 10.115500 0.063100 1.522450 0.147300 -0.007213 -0.795400
101 0 9.940210 0.045875 2.000060 0.039235 -0.000226 -0.097112
104 0 9.122000 0.069030 1.071130 0.225054 -0.006832 -0.497020
106 0 8.998960 0.074655 0.407327 0.245540 -0.011349 -0.717290
108 0 10.013100 0.047570 1.696960 0.266795 -0.009150 -0.725820
109 0 9.383240 0.081220 0.820347 0.313847 -0.017823 -0.829190
110 0 10.068500 0.045950 1.766620 0.264700 -0.008818 -0.700190
112 0 9.284770 0.076935 1.365900 0.194290 0.002191 0.070229
113 0 9.634080 0.061290 1.041630 0.211563 -0.008072 -0.698380
119 0 10.015900 0.047025 2.028370 0.100695 -0.005958 -0.675130
120 1 10.642700 0.096000 1.562260 0.190970 -0.015066 -0.905770
123 0 9.064690 0.083370 0.659772 0.331628 -0.020179 -0.829200
124 0 8.759190 0.051875 0.782016 0.078600 -0.002804 -0.430020
125 0 9.723990 0.041570 1.515620 0.197970 -0.004724 -0.507520
126 0 10.526800 0.033600 2.084420 0.072550 -0.002567 -0.646640
129 0 8.688200 0.071900 0.559015 0.266670 -0.010346 -0.583850
130 0 9.763150 0.040910 1.485880 0.238595 -0.005363 -0.523370
131 0 10.023700 0.050840 1.546740 0.157020 -0.011403 -0.630550
132 0 8.269320 0.170525 0.124848 0.186390 -0.017826 -0.597370
133 0 10.469900 0.057550 2.147090 0.280435 -0.009724 -0.670220
134 0 9.744080 0.044980 1.548650 0.256585 -0.003853 -0.326060
135 0 11.070300 0.046500 2.680180 0.210660 -0.009018 -0.606170
139 0 9.852250 0.093665 1.845700 0.257090 -0.018384 -0.719070
140 0 9.077140 0.087185 1.015830 0.173007 -0.003061 -0.230220
142 0 8.736150 0.062430 0.977127 0.048987 0.001738 0.484230
143 0 9.574190 0.034270 1.596230 0.056980 -0.000922 -0.344120
144 0 8.594280 0.175730 0.460594 0.163025 -0.021874 -0.794270
145 0 10.329700 0.028800 2.123230 0.212635 -0.003568 -0.378510
146 0 10.286800 0.025550 2.013840 0.151015 -0.004719 -0.474710
147 0 9.164020 0.066380 1.004980 0.289471 -0.014986 -0.642060
148 0 9.689000 0.042785 1.704330 0.084230 -0.000831 -0.162810
149 0 9.712390 0.047765 1.290160 0.257010 -0.008059 -0.691210
150 0 9.684510 0.088995 1.159570 0.146510 -0.007737 -0.604430
152 0 9.451630 0.072430 0.898011 0.246922 -0.012427 -0.826590
153 0 9.517740 0.042690 1.254810 0.213440 -0.002326 -0.249910
154 0 8.914230 0.093590 0.634808 0.116390 -0.007901 -0.683670
155 1 10.750500 0.044350 1.378860 0.052040 -0.004110 -0.813170
