# x xerr y yerr ymodel yresidual
1.023280 0.056250 1.294279 0.137785 0.782796 0.511483
1.067880 0.108100 1.027069 0.199715 0.817909 0.209160
0.274870 0.103310 0.781859 0.120675 0.193566 0.588293
0.067400 0.066415 0.219676 0.145876 0.030224 0.189452
0.498070 0.073325 0.116950 0.201181 0.369293 -0.252343
0.150240 0.066900 0.518339 0.100228 0.095444 0.422895
0.091240 0.057575 0.271772 0.152215 0.048993 0.222779
0.911980 0.040450 0.692309 0.270438 0.695168 -0.002859
0.897630 0.064445 0.916489 0.137840 0.683870 0.232619
0.300220 0.041355 -0.004515 0.215903 0.213524 -0.218039
0.734000 0.016390 -0.041467 0.243731 0.555043 -0.596510
0.136050 0.038730 -0.738887 0.608994 0.084272 -0.823159
0.741260 0.053100 0.825059 0.146590 0.560759 0.264301
0.359210 0.085225 0.305655 0.149392 0.259968 0.045687
-0.010340 0.087130 0.143271 0.187548 -0.030982 0.174253
-0.019180 0.059555 -0.113381 0.208495 -0.037942 -0.075439
0.199490 0.062760 0.573329 0.092080 0.134219 0.439110
1.816979 0.045400 1.975589 0.157360 1.407681 0.567908
-0.073800 0.066290 0.092122 0.127725 -0.080944 0.173066
0.246810 0.095525 0.020299 0.193566 0.171474 -0.151175
0.819830 0.050410 0.922429 0.131665 0.622618 0.299811
1.320880 0.038600 1.180589 0.144290 1.017098 0.163491
0.858370 0.035450 0.837939 0.173895 0.652960 0.184979
1.269979 0.068200 1.018339 0.162720 0.977024 0.041315
1.667080 0.107400 1.212439 0.174065 1.289664 -0.077225
0.348820 0.060655 0.435409 0.174252 0.251788 0.183621
0.796260 0.028590 0.547289 0.168241 0.604061 -0.056772
0.423389 0.060895 0.630579 0.132405 0.310497 0.320082
-0.031680 0.051110 0.022107 0.146872 -0.047783 0.069890
0.107340 0.079180 0.247469 0.160624 0.061669 0.185800
0.566090 0.066570 0.245184 0.258773 0.422846 -0.177662
-0.122090 0.071360 0.351749 0.095381 -0.118964 0.470713
0.569690 0.035085 0.632189 0.095230 0.425680 0.206509
0.165750 0.071395 0.377380 0.146696 0.107655 0.269725
0.257790 0.042460 0.265629 0.146746 0.180119 0.085510
-0.330410 0.078445 0.226963 0.091489 -0.282975 0.509938
0.363290 0.049100 0.649539 0.110390 0.263180 0.386359
0.401609 0.045495 0.511499 0.125258 0.293349 0.218150
0.181410 0.064370 0.468969 0.119106 0.119984 0.348985
0.145410 0.045815 0.687599 0.062390 0.091641 0.595958
-0.925600 0.147300 -0.277974 0.121976 -0.751573 0.473599
0.085380 0.069750 0.301859 0.166337 0.044379 0.257480
1.083480 0.095750 1.314209 0.209025 0.830191 0.484018
0.907680 0.039560 0.653019 0.293409 0.691782 -0.038763
0.711750 0.067625 0.065807 0.169161 0.537525 -0.471718
-0.035830 0.120575 0.462619 0.119899 -0.051051 0.513670
-0.150630 0.147280 0.158875 0.184861 -0.141433 0.300308
0.597780 0.048145 -0.051906 0.281651 0.447796 -0.499702
0.007710 0.054365 0.204165 0.110804 -0.016771 0.220936
0.171280 0.067600 0.381600 0.146852 0.112009 0.269591
0.093530 0.074190 0.187977 0.149837 0.050796 0.137181
0.705729 0.056995 0.933539 0.125600 0.532785 0.400754
1.634380 0.040600 0.493059 0.703367 1.263920 -0.770861
1.264680 0.064150 0.963199 0.163800 0.972852 -0.009652
0.603209 0.040110 0.571419 0.149176 0.452071 0.119348
0.872290 0.052615 1.215719 0.090800 0.663920 0.551799
0.464620 0.037650 0.665609 0.091365 0.342958 0.322651
1.116580 0.109100 1.040079 0.151475 0.856251 0.183828
0.803289 0.048115 0.968009 0.134935 0.609595 0.358414
1.166280 0.061950 1.252329 0.132630 0.895380 0.356949
0.240109 0.098010 -0.202741 0.175679 0.166199 -0.368940
0.027730 0.079060 -0.138276 0.204627 -0.001009 -0.137267
1.046580 0.043400 1.104379 0.194915 0.801140 0.303239
0.165920 0.058755 0.271867 0.141478 0.107789 0.164078
0.476769 0.070450 0.630099 0.124145 0.352523 0.277576
0.983479 0.023950 0.459049 0.312207 0.751460 -0.292411
0.763390 0.049875 0.926419 0.122335 0.578182 0.348237
0.112250 0.101600 0.798319 0.082715 0.065535 0.732784
1.013580 0.063100 -1.299313 0.963950 0.775159 -2.074472
0.838290 0.045875 0.850399 0.132605 0.637152 0.213247
0.020080 0.069030 0.402382 0.124515 -0.007032 0.409414
-0.102961 0.074655 -0.614319 0.342772 -0.103903 -0.510416
0.911180 0.047570 0.944279 0.131835 0.694538 0.249741
0.281320 0.081220 0.057640 0.166363 0.198644 -0.141004
0.966579 0.045950 0.912739 0.158010 0.738155 0.174584
0.182850 0.076935 0.656029 0.132620 0.121118 0.534911
0.532160 0.061290 0.410351 0.135864 0.396133 0.014218
0.913980 0.047025 1.014569 0.119145 0.696742 0.317827
1.540780 0.096000 0.906639 0.151930 1.190227 -0.283588
-0.037230 0.083370 -0.175897 0.182697 -0.052153 -0.123744
-0.342731 0.051875 -0.230357 0.142559 -0.292675 0.062318
0.622070 0.041570 0.642219 0.159330 0.466920 0.175299
1.424880 0.033600 -1.040516 0.926539 1.098978 -2.139494
-0.413720 0.071900 -0.140730 0.130483 -0.348566 0.207836
0.661230 0.040910 0.567069 0.180998 0.497751 0.069318
0.921780 0.050840 -0.963230 1.119237 0.702883 -1.666113
-0.832601 0.170525 -0.333388 0.245970 -0.678354 0.344966
1.367980 0.057550 1.517889 0.120900 1.054181 0.463709
0.642159 0.044980 0.736559 0.169040 0.482736 0.253823
1.968380 0.046500 1.217819 0.457945 1.526880 -0.309061
0.750330 0.093665 0.999339 0.136185 0.567900 0.431439
-0.024780 0.087185 0.316019 0.137009 -0.042351 0.358370
-0.365770 0.062430 0.259828 0.056715 -0.310815 0.570643
0.472270 0.034270 0.430619 0.109126 0.348981 0.081638
-0.507640 0.175730 0.101112 0.154805 -0.422510 0.523622
1.227780 0.028800 1.062659 0.242790 0.943800 0.118859
1.184880 0.025550 0.746439 0.296500 0.910025 -0.163586
0.062099 0.066380 0.106035 0.156620 0.026050 0.079985
0.587080 0.042785 0.661449 0.125150 0.439372 0.222077
0.610470 0.047765 0.369015 0.229380 0.457787 -0.088772
0.582590 0.088995 0.716329 0.133470 0.435837 0.280492
0.349710 0.072430 -0.050724 0.211695 0.252488 -0.303212
0.415820 0.042690 0.300819 0.223255 0.304538 -0.003718
-0.187690 0.093590 0.266736 0.105040 -0.170611 0.437347
1.648580 0.044350 -0.205886 0.139380 1.275099 -1.480985
-0.121720 0.086175 -0.132191 0.175844 -0.118672 -0.013519
1.198280 0.022300 0.904699 0.129690 0.920575 -0.015876
0.188180 0.092990 0.309613 0.183690 0.125315 0.184298
0.235780 0.051490 0.399866 0.140039 0.162790 0.237076
0.911480 0.074520 0.828369 0.308385 0.694774 0.133595
0.173640 0.065440 0.428370 0.130626 0.113867 0.314503
0.343010 0.050765 0.517979 0.120166 0.247213 0.270766
0.705160 0.049655 0.820829 0.133670 0.532337 0.288492
0.500110 0.047825 0.614989 0.159425 0.370899 0.244090
0.460950 0.060645 0.758529 0.105195 0.340069 0.418461
1.756780 0.021200 1.072499 0.455260 1.360286 -0.287786
0.117120 0.039255 0.008910 0.174365 0.069368 -0.060458
0.534170 0.082895 0.996159 0.110950 0.397715 0.598444
0.149890 0.053655 0.539849 0.104870 0.095169 0.444680
0.818910 0.057810 0.971589 0.128770 0.621893 0.349696
0.929880 0.050365 0.925679 0.142925 0.709261 0.216418
-0.193260 0.083880 -0.354811 0.184739 -0.174996 -0.179815
0.383970 0.085535 0.739419 0.142965 0.279462 0.459957
0.520070 0.047415 0.647779 0.115995 0.386614 0.261165
0.757700 0.025830 0.524519 0.186670 0.573702 -0.049183
0.360510 0.075240 0.669439 0.125100 0.260991 0.408448
0.397500 0.054260 0.277386 0.233203 0.290114 -0.012728
-0.006810 0.028070 -0.495779 0.388517 -0.028203 -0.467576
0.629510 0.046325 0.704099 0.132560 0.472777 0.231322
1.636580 0.061450 1.045879 0.128535 1.265651 -0.219772
0.404320 0.050415 0.774059 0.084575 0.295483 0.478576
0.654460 0.035230 0.481049 0.197373 0.492421 -0.011372
-0.176280 0.054690 -0.193792 0.218225 -0.161628 -0.032164
0.878040 0.047625 0.912569 0.127965 0.668447 0.244122
0.855510 0.081935 1.434439 0.082660 0.650709 0.783730
0.365370 0.085690 0.405462 0.181701 0.264818 0.140644
0.133100 0.039620 -0.020374 0.207064 0.081949 -0.102323
0.293250 0.054160 0.545049 0.113526 0.208037 0.337012
0.033000 0.102850 0.166880 0.151153 0.003140 0.163740
0.958179 0.060900 1.169849 0.122420 0.731541 0.438308
0.051810 0.065970 0.434189 0.096433 0.017950 0.416239
-0.139940 0.088680 0.046691 0.137057 -0.133017 0.179708
-0.223620 0.087900 -0.033616 0.164440 -0.198899 0.165283
0.776170 0.136430 0.931329 0.198635 0.588244 0.343085
-0.320991 0.056170 -0.040315 0.118316 -0.275559 0.235244
-0.012450 0.073355 0.089840 0.176941 -0.032643 0.122483
0.643990 0.034615 0.564859 0.169671 0.484177 0.080682
0.401870 0.056775 0.339187 0.149271 0.293554 0.045633
0.431040 0.073165 0.648829 0.125270 0.316520 0.332309
0.411270 0.083865 0.285529 0.151927 0.300955 -0.015426
0.404690 0.036960 0.513959 0.101237 0.295775 0.218185
