# x_refit sx_refit y_refit sy_refit
0.644445 0.050610 0.758227 0.027595
0.693885 0.051305 0.687727 0.050045
1.452425 0.030900 1.495317 0.027795
0.467295 0.076655 0.628217 0.049080
1.543825 0.025950 1.470717 0.063085
0.967295 0.031125 0.915837 0.055580
0.802725 0.083800 0.901137 0.042440
1.340525 0.049700 1.204148 0.182130
0.698285 0.065685 0.915767 0.034970
0.676755 0.070165 0.728827 0.058825
0.725145 0.028825 0.675447 0.044090
0.664415 0.021580 0.611127 0.047495
0.764015 0.028745 0.727188 0.052065
0.905046 0.059945 0.983787 0.054295
1.070015 0.041940 1.121967 0.026820
0.308375 0.118965 0.102327 0.219345
-0.522435 0.111235 -0.326520 0.118789
0.817656 0.048060 0.801247 0.050740
1.221625 0.061910 1.295857 0.038495
0.003765 0.074245 0.063699 0.089345
0.692425 0.044025 0.693907 0.066295
0.761565 0.057210 0.929617 0.067720
0.772985 0.051150 0.895307 0.164885
1.067595 0.047025 1.022087 0.059455
0.337445 0.074475 0.353267 0.083090
0.581665 0.074905 0.756887 0.111575
-0.574895 0.217135 -1.071332 0.163246
-0.572155 0.166515 -0.924270 0.189939
0.011775 0.050990 0.039644 0.044969
-0.423045 0.151405 -0.412128 0.168530
0.097725 0.060095 0.376527 0.085255
-0.002145 0.165150 0.165039 0.115159
0.301496 0.055950 0.137907 0.167779
-0.425445 0.128785 -0.446661 0.173221
0.698655 0.048595 0.652658 0.071565
1.094545 0.030890 1.084628 0.033755
0.059695 0.037775 0.003702 0.060440
0.623535 0.028815 0.494457 0.063700
-0.075095 0.070345 0.015956 0.040787
0.560575 0.052195 0.722377 0.062910
0.579855 0.053330 0.756498 0.036495
0.978585 0.059195 1.100227 0.027880
-1.113895 0.242410 -0.955207 0.127330
0.464335 0.037050 0.424147 0.050810
1.275225 0.060900 1.329458 0.032620
0.669445 0.026550 0.691317 0.025415
-0.444855 0.099075 -0.943519 0.249919
-0.489435 0.114940 -0.978279 0.240234
0.032795 0.081810 0.058664 0.047119
-0.397665 0.075365 -0.394165 0.062995
-0.640635 0.306910 -0.797336 0.198772
0.211765 0.043665 0.247737 0.035615
-1.386735 0.134310 -1.542135 0.229680
-0.617435 0.090945 -0.334132 0.088442
-0.350055 0.167645 -0.519139 0.174923
-1.515755 0.260475 -1.488039 0.150974
0.694995 0.059675 0.901348 0.032350
-0.720815 0.128090 -0.900085 0.133720
-0.773405 0.059070 -0.823256 0.101533
-0.081964 0.058590 -0.173942 0.090675
-0.751845 0.058270 -0.995421 0.219697
-0.598595 0.045605 -0.779594 0.156236
-0.796485 0.092445 -1.062111 0.259474
-0.537535 0.085410 -0.691864 0.227683
-0.844125 0.081730 -1.163261 0.261511
-0.607055 0.166580 -0.725068 0.178149
0.410686 0.030500 0.230917 0.079576
-0.709645 0.050035 -0.807356 0.104747
-0.131725 0.097770 -0.159116 0.096806
-0.740155 0.059620 -0.885484 0.191900
-0.599495 0.047845 -0.587115 0.077560
0.158335 0.042030 0.249738 0.032735
-0.916645 0.079620 -0.867795 0.114387
-0.484025 0.108215 -0.705378 0.229965
1.089035 0.028095 1.046657 0.057050
1.101015 0.021780 1.084937 0.030670
-0.758865 0.091005 -1.187371 0.289950
-0.533235 0.048550 -0.442247 0.041846
-0.641665 0.228670 -0.478653 0.130152
-0.280725 0.030385 -0.408186 0.083156
-0.516835 0.096715 -0.576619 0.211135
-0.136325 0.249780 -0.312366 0.168432
-0.249315 0.112750 -0.134041 0.149275
-0.190815 0.028715 -0.253692 0.072581
-0.661365 0.036880 -0.750689 0.085020
0.347645 0.061760 -0.098151 0.245178
-0.106395 0.070290 -0.044703 0.058451
-1.336485 0.213260 -1.387859 0.176590
-0.810285 0.165690 -1.224421 0.228630
0.191405 0.074930 -0.182401 0.232137
0.020485 0.070400 0.042589 0.054005
-0.361794 0.128165 -0.833169 0.183002
0.049445 0.038055 0.128227 0.042723
-0.469275 0.161035 -0.287624 0.111990
-0.646315 0.060385 -0.595347 0.058855
-0.218195 0.041160 -0.196931 0.048058
-0.318435 0.122935 -0.389484 0.181601
-0.204575 0.057385 -0.220423 0.132371
-0.036645 0.041940 0.095029 0.029936
-1.301465 0.232870 -1.519246 0.224909
-0.985695 0.207200 -1.341233 0.249123
-0.877765 0.136860 -1.209597 0.268452
-0.029005 0.034865 -0.005882 0.036584
-0.339705 0.031625 -0.481857 0.121367
-1.200425 0.166330 -1.219736 0.182259
-1.003095 0.137520 -1.050781 0.223615
-1.027465 0.104410 -1.097829 0.206502
-1.434365 0.158885 -1.282550 0.111829
-0.023535 0.021130 -0.119039 0.036959
-0.405635 0.128825 -0.379644 0.161219
-0.772505 0.080465 -0.943695 0.158851
-1.360525 0.250360 -1.517357 0.195782
-0.786915 0.095000 -0.491874 0.095225
0.413825 0.034375 0.491197 0.022945
-0.270844 0.032215 -0.322702 0.073857
-0.436355 0.085030 -0.468951 0.191693
-0.836175 0.078105 -0.812069 0.078051
-0.669295 0.085255 -0.611819 0.077257
0.066415 0.075840 0.115872 0.145674
0.581555 0.039940 0.626588 0.034965
-0.168195 0.040865 -0.115074 0.033507
-1.150505 0.262365 -1.307747 0.213932
0.281745 0.052205 0.290397 0.050065
-0.313285 0.065205 -0.626902 0.248541
-0.085315 0.034575 -0.066826 0.066698
-0.642195 0.100615 -0.735276 0.204269
-0.521105 0.230670 -0.629423 0.241932
-0.659265 0.050120 -0.661416 0.078494
-0.959235 0.110030 -1.168921 0.254070
-0.202945 0.091105 -0.106900 0.147785
0.186565 0.085295 0.235497 0.137644
-0.237085 0.043630 -0.305873 0.126226
-1.416305 0.082590 -1.120882 0.040562
-0.101125 0.176260 -0.530540 0.202854
-1.405725 0.173230 -1.341510 0.125642
1.077945 0.019845 1.014498 0.047570
-0.027494 0.059770 -0.003703 0.175755
-0.674735 0.081355 -1.017996 0.255751
0.925185 0.051055 1.111587 0.085500
0.920675 0.058300 1.123587 0.076445
-0.790285 0.118480 -0.882159 0.223169
-0.850125 0.111410 -0.873525 0.201897
-0.717545 0.127760 -0.882113 0.238753
-0.564725 0.062640 -0.858219 0.144314
-0.165825 0.110660 0.128638 0.070146
-0.877085 0.047435 -0.837657 0.048542
0.587735 0.078410 0.609637 0.133590
-0.095875 0.028475 -0.151899 0.076131
-0.154375 0.031925 -0.192319 0.064665
-0.577965 0.096405 -0.498548 0.154733
-0.353455 0.072865 -0.426012 0.194994
0.124025 0.039980 0.223717 0.046905
0.967005 0.043245 0.864087 0.156600
0.042995 0.101100 -0.379966 0.213303
-0.566385 0.059970 -0.566681 0.142770
-0.320425 0.044630 -0.415008 0.116696
0.670705 0.079010 0.269157 0.229935
0.906555 0.045495 0.921197 0.065345
-0.378165 0.080405 -0.383158 0.110076
-0.537975 0.053655 -0.533562 0.067832
-0.064125 0.149810 -0.357844 0.201747
-0.790615 0.184660 -1.007234 0.190436
1.180825 0.029955 1.056787 0.213140
-0.896365 0.093170 -1.165269 0.250790
-0.274364 0.026190 -0.223263 0.027648
0.070826 0.072545 -0.059379 0.191595
-0.626534 0.094185 -0.832162 0.216794
-0.271495 0.069260 -0.239226 0.055805
-0.197515 0.036275 -0.351607 0.128277
-0.834875 0.156390 -1.109424 0.232055
0.459185 0.045885 0.523637 0.044965
-1.084415 0.169550 -0.958025 0.115904
-0.428185 0.062385 -0.368986 0.054201
1.409025 0.035550 1.497227 0.024380
0.734776 0.054405 0.901547 0.049680
-0.083915 0.023235 -0.218546 0.075172
-1.145585 0.190810 -1.380650 0.218043
0.176565 0.057050 -0.179283 0.179288
0.659075 0.032735 0.755857 0.022570
0.987665 0.055260 1.043147 0.040505
0.096375 0.021965 0.087233 0.031888
-0.983145 0.120095 -1.270761 0.229644
0.121215 0.064825 0.143887 0.058332
-1.373315 0.093975 -1.233732 0.148767
-1.102955 0.145925 -1.240507 0.182671
0.355605 0.026290 0.237888 0.044945
-0.632725 0.075540 -0.561476 0.078938
-0.293665 0.065920 -0.155378 0.050277
0.551865 0.085655 0.631617 0.060200
0.088445 0.042125 0.112146 0.035552
1.064885 0.025420 0.984057 0.056180
0.569495 0.067795 0.750147 0.135470
0.676135 0.068815 0.797287 0.120985
1.066715 0.051065 1.116217 0.203780
0.876865 0.027805 0.809217 0.050925
1.092315 0.031505 0.903487 0.114225
0.346265 0.080130 0.401937 0.077825
-0.169044 0.126550 0.045025 0.085330
1.388125 0.030650 1.166247 0.128925
0.820955 0.023115 0.787097 0.043280
0.398255 0.050460 0.599167 0.093925
1.592925 0.043400 1.694098 0.163595
0.098705 0.075955 0.178627 0.160269
1.287825 0.032200 1.334267 0.021760
0.358455 0.092065 0.335667 0.162520
0.658545 0.056320 0.671438 0.056455
1.022545 0.035300 1.105047 0.021545
1.409725 0.040700 1.419307 0.089840
1.385025 0.036500 1.390427 0.041845
0.910095 0.031565 0.727847 0.105995
-0.370135 0.135380 -0.101681 0.090773
0.696295 0.080975 0.704098 0.063265
1.204525 0.045240 1.282037 0.028585
1.577725 0.052650 1.617337 0.169510
-0.182335 0.102575 -0.081880 0.149984
1.379925 0.018650 1.333787 0.042285
0.632365 0.086065 0.951157 0.087770
0.841595 0.026050 0.840007 0.033655
0.528905 0.037060 0.560297 0.038410
1.475525 0.047550 1.389777 0.189490
0.957765 0.027410 0.963067 0.035060
1.172935 0.053965 1.423847 0.069755
1.692425 0.085650 1.525987 0.298155
1.146485 0.024595 1.101457 0.048535
0.937815 0.024020 0.825637 0.060560
0.978335 0.023010 0.856867 0.062180
1.051425 0.037565 1.014097 0.051200
0.745996 0.067875 0.782017 0.089630
0.784745 0.086185 0.737827 0.147690
0.117516 0.085635 0.213457 0.154405
0.002145 0.100530 0.084626 0.085110
0.869435 0.048640 1.190628 0.039465
1.050415 0.024435 0.884607 0.061725
0.790815 0.062075 0.799367 0.135575
0.506525 0.108410 0.296878 0.171931
1.184625 0.041795 1.276007 0.029900
1.076525 0.046345 0.918638 0.121720
0.556066 0.049780 0.655717 0.037970
1.748025 0.052600 1.445777 0.179015
0.785205 0.046525 0.890777 0.042625
0.424665 0.077405 0.353197 0.211491
1.223825 0.018000 1.105107 0.043605
-0.568225 0.220705 -0.676585 0.182524
