# x xerr y yerr ymodel yresidual
0.644445 0.050610 0.758227 0.027595 0.617703 0.140524
0.693885 0.051305 0.687727 0.050045 0.669164 0.018563
1.452425 0.030900 1.495317 0.027795 1.458715 0.036603
0.467295 0.076655 0.628217 0.049080 0.433310 0.194907
1.543825 0.025950 1.470717 0.063085 1.553851 -0.083134
0.967295 0.031125 0.915837 0.055580 0.953751 -0.037914
0.802725 0.083800 0.901137 0.042440 0.782454 0.118684
1.340525 0.049700 1.204148 0.182130 1.342240 -0.138092
0.698285 0.065685 0.915767 0.034970 0.673744 0.242023
0.676755 0.070165 0.728827 0.058825 0.651334 0.077494
0.725145 0.028825 0.675447 0.044090 0.701703 -0.026255
0.664415 0.021580 0.611127 0.047495 0.638490 -0.027362
0.764015 0.028745 0.727188 0.052065 0.742161 -0.014974
0.905046 0.059945 0.983787 0.054295 0.888957 0.094830
1.070015 0.041940 1.121967 0.026820 1.060671 0.061296
0.308375 0.118965 0.102327 0.219345 0.267894 -0.165567
-0.522435 0.111235 -0.326520 0.118789 -0.596881 0.270362
0.817656 0.048060 0.801247 0.050740 0.797995 0.003253
1.221625 0.061910 1.295857 0.038495 1.218480 0.077378
0.003765 0.074245 0.063699 0.089345 -0.049169 0.112869
0.692425 0.044025 0.693907 0.066295 0.667644 0.026263
0.761565 0.057210 0.929617 0.067720 0.739611 0.190006
0.772985 0.051150 0.895307 0.164885 0.751498 0.143809
1.067595 0.047025 1.022087 0.059455 1.058153 -0.036065
0.337445 0.074475 0.353267 0.083090 0.298153 0.055115
0.581665 0.074905 0.756887 0.111575 0.552356 0.204531
-0.574895 0.217135 -1.071332 0.163246 -0.651486 -0.419846
-0.572155 0.166515 -0.924270 0.189939 -0.648634 -0.275636
0.011775 0.050990 0.039644 0.044969 -0.040832 0.080476
0.190255 0.102560 -0.339504 0.205450 0.144945 -0.484449
-0.423045 0.151405 -0.412128 0.168530 -0.493428 0.081301
0.097725 0.060095 0.376527 0.085255 0.048632 0.327895
-0.002145 0.165150 0.165039 0.115159 -0.055321 0.220360
0.301496 0.055950 0.137907 0.167779 0.260733 -0.122826
-0.425445 0.128785 -0.446661 0.173221 -0.495926 0.049265
0.698655 0.048595 0.652658 0.071565 0.674129 -0.021472
1.094545 0.030890 1.084628 0.033755 1.086204 -0.001577
0.059695 0.037775 0.003702 0.060440 0.009048 -0.005345
0.623535 0.028815 0.494457 0.063700 0.595938 -0.101481
-0.075095 0.070345 0.015956 0.040787 -0.131253 0.147210
0.560575 0.052195 0.722377 0.062910 0.530405 0.191973
0.579855 0.053330 0.756498 0.036495 0.550472 0.206025
0.978585 0.059195 1.100227 0.027880 0.965504 0.134724
-1.113895 0.242410 -0.955207 0.127330 -1.212521 0.257315
0.464335 0.037050 0.424147 0.050810 0.430230 -0.006083
1.275225 0.060900 1.329458 0.032620 1.274270 0.055187
0.669445 0.026550 0.691317 0.025415 0.643725 0.047592
-0.444855 0.099075 -0.943519 0.249919 -0.516129 -0.427389
1.750725 0.062300 1.160217 0.099430 1.769210 -0.608992
-0.489435 0.114940 -0.978279 0.240234 -0.562532 -0.415746
0.032795 0.081810 0.058664 0.047119 -0.018952 0.077617
-0.397665 0.075365 -0.394165 0.062995 -0.467010 0.072846
-0.640635 0.306910 -0.797336 0.198772 -0.719913 -0.077423
0.211765 0.043665 0.247737 0.035615 0.167335 0.080403
-1.386735 0.134310 -1.542135 0.229680 -1.496515 -0.045619
-0.617435 0.090945 -0.334132 0.088442 -0.695764 0.361633
-0.350055 0.167645 -0.519139 0.174923 -0.417454 -0.101685
-1.515755 0.260475 -1.488039 0.150974 -1.630810 0.142771
-1.382915 0.058675 -0.535399 0.037997 -1.492539 0.957141
0.694995 0.059675 0.901348 0.032350 0.670319 0.231028
-0.720815 0.128090 -0.900085 0.133720 -0.803371 -0.096714
-0.773405 0.059070 -0.823256 0.101533 -0.858111 0.034856
-0.081964 0.058590 -0.173942 0.090675 -0.138403 -0.035538
-0.751845 0.058270 -0.995421 0.219697 -0.835670 -0.159750
-0.598595 0.045605 -0.779594 0.156236 -0.676154 -0.103439
-0.796485 0.092445 -1.062111 0.259474 -0.882135 -0.179977
-0.537535 0.085410 -0.691864 0.227683 -0.612598 -0.079265
-0.844125 0.081730 -1.163261 0.261511 -0.931722 -0.231538
