# id x_refit sx_refit y_refit sy_refit covxy_refit corrxy_refit
372 0.696295 0.080975 0.704098 0.063265 0.000603 0.092892
375 1.204525 0.045240 1.282037 0.028585 0.002577 0.443470
380 1.577725 0.052650 1.617337 0.169510 -0.010784 -0.696200
381 -0.182335 0.102575 -0.081880 0.149984 -0.002717 -0.196610
386 1.379925 0.018650 1.333787 0.042285 0.000228 0.265120
388 0.632365 0.086065 0.951157 0.087770 -0.005131 -0.673550
389 0.841595 0.026050 0.840007 0.033655 0.000064 0.065466
390 0.528905 0.037060 0.560297 0.038410 -0.000085 -0.054340
391 1.475525 0.047550 1.389777 0.189490 -0.001525 -0.175200
395 0.957765 0.027410 0.963067 0.035060 0.000358 0.114450
396 1.172935 0.053965 1.423847 0.069755 -0.001096 -0.248250
397 1.692425 0.085650 1.525987 0.298155 -0.022820 -0.849070
398 1.146485 0.024595 1.101457 0.048535 0.000923 0.252640
401 0.937815 0.024020 0.825637 0.060560 0.000798 0.338460
402 0.978335 0.023010 0.856867 0.062180 0.001074 0.364490
403 1.051425 0.037565 1.014097 0.051200 -0.000227 -0.096071
404 0.745996 0.067875 0.782017 0.089630 -0.000529 -0.077334
407 0.784745 0.086185 0.737827 0.147690 -0.005786 -0.332580
418 0.117516 0.085635 0.213457 0.154405 -0.002861 -0.238680
420 0.002145 0.100530 0.084626 0.085110 0.002819 0.271770
422 0.869435 0.048640 1.190628 0.039465 -0.000541 -0.195310
426 1.050415 0.024435 0.884607 0.061725 0.001276 0.472760
427 0.790815 0.062075 0.799367 0.135575 -0.001519 -0.186230
428 0.506525 0.108410 0.296878 0.171931 -0.008358 -0.503800
429 1.184625 0.041795 1.276007 0.029900 0.001444 0.320260
431 1.076525 0.046345 0.918638 0.121720 -0.006821 -0.392190
433 0.556066 0.049780 0.655717 0.037970 0.000651 0.151620
435 1.748025 0.052600 1.445777 0.179015 0.000241 0.026860
436 0.785205 0.046525 0.890777 0.042625 -0.000524 -0.108630
438 0.424665 0.077405 0.353197 0.211491 0.002000 0.133650
440 1.223825 0.018000 1.105107 0.043605 0.000266 0.329470
443 -0.568225 0.220705 -0.676585 0.182524 -0.018234 -0.461680
