# x xerr y yerr ymodel yresidual
0.712395 0.045815 0.640689 0.128485 0.476730 0.163959
0.956385 0.039205 0.810489 0.127455 0.662609 0.147880
0.749965 0.043010 0.242819 0.245927 0.505352 -0.262533
1.492234 0.035600 1.130869 0.161985 1.070836 0.060033
0.543324 0.079330 0.693569 0.168903 0.347927 0.345642
1.606134 0.029900 0.953149 0.379930 1.157609 -0.204460
1.025825 0.024815 0.275256 0.194318 0.715511 -0.440255
0.894014 0.022400 0.003102 0.219179 0.615094 -0.611992
0.817875 0.074720 0.883819 0.110590 0.557088 0.326731
1.264935 0.049015 1.361729 0.105260 0.897672 0.464057
0.717545 0.065755 1.105199 0.085405 0.480654 0.624545
0.732664 0.061305 0.590269 0.151111 0.492172 0.098097
0.775064 0.039725 0.240390 0.366379 0.524474 -0.284084
0.710514 0.024750 0.031509 0.156505 0.475297 -0.443788
0.816975 0.033945 0.298691 0.229968 0.556402 -0.257711
0.994325 0.041865 0.828609 0.141085 0.691513 0.137096
1.107815 0.041200 0.870959 0.141345 0.777973 0.092985
0.323645 0.128390 0.530999 0.145133 0.180568 0.350431
-0.443636 0.107155 0.216625 0.092796 -0.403970 0.620595
0.874555 0.039755 0.362437 0.238816 0.600269 -0.237832
1.038754 0.021545 0.198965 0.220105 0.725361 -0.526396
1.269734 0.066805 1.182669 0.143750 0.901329 0.281340
0.052045 0.086945 0.133823 0.179149 -0.026345 0.160168
0.749294 0.047040 0.424033 0.174837 0.504841 -0.080808
0.818085 0.055850 1.146979 0.112410 0.557248 0.589731
0.811304 0.044510 1.017929 0.083220 0.552082 0.465847
1.120475 0.044165 0.604659 0.349597 0.787618 -0.182959
0.654585 0.071465 1.086599 0.071945 0.432689 0.653910
0.548155 0.057245 0.903659 0.066415 0.351607 0.552052
-0.460186 0.179770 -0.539703 0.131803 -0.416578 -0.123125
-0.553326 0.173700 -0.422572 0.161499 -0.487535 0.064963
0.048144 0.060895 -0.215491 0.233913 -0.029316 -0.186175
0.245894 0.105395 0.044480 0.164391 0.121336 -0.076856
-0.361465 0.147255 -0.008656 0.129162 -0.341370 0.332714
0.143464 0.058740 0.797209 0.079840 0.043301 0.753908
-0.044886 0.127870 0.814439 0.072930 -0.100189 0.914628
0.348945 0.063705 0.117037 0.294585 0.199843 -0.082806
-0.395315 0.131360 -0.166498 0.236707 -0.367158 0.200660
0.757144 0.051155 0.263285 0.445769 0.510822 -0.247537
0.109144 0.043465 -0.632681 0.350002 0.017155 -0.649836
0.653885 0.045630 -0.180121 0.576783 0.432156 -0.612277
-0.025016 0.067565 -0.128905 0.154543 -0.085052 -0.043853
0.591495 0.047125 0.938449 0.083865 0.384625 0.553824
-1.042416 0.272275 -0.403348 0.137374 -0.860139 0.456790
0.508405 0.045745 -0.032625 0.320120 0.321324 -0.353949
1.328634 0.061350 1.026519 0.275070 0.946201 0.080318
0.727684 0.033230 0.322803 0.163457 0.488378 -0.165575
-0.381776 0.090130 -0.927463 0.376818 -0.356843 -0.570620
1.800434 0.054700 -1.739181 1.456782 1.305632 -3.044813
-0.507175 0.139420 -0.566117 0.206666 -0.452376 -0.113741
0.090884 0.059955 -0.249100 0.245810 0.003244 -0.252344
-0.355656 0.079085 -0.664397 0.304886 -0.336944 -0.327453
-0.571236 0.326945 -0.439764 0.412565 -0.501179 0.061415
0.254584 0.048640 -0.113385 0.242896 0.127956 -0.241341
-1.320526 0.127470 -1.205807 0.151630 -1.072012 -0.133795
-0.556795 0.088390 0.264326 0.051936 -0.490178 0.754504
-0.329306 0.182825 -0.032723 0.166337 -0.316869 0.284146
-1.405275 0.248315 -0.940686 0.175464 -1.136577 0.195891
-1.363935 0.069995 0.156868 0.055163 -1.105083 1.261951
0.750415 0.046775 1.011539 0.074365 0.505695 0.505844
-0.690406 0.151540 -0.319150 0.128761 -0.591967 0.272817
-0.718825 0.062340 -1.057934 0.259705 -0.613618 -0.444316
-0.699676 0.061735 -1.103107 0.349577 -0.599029 -0.504078
-0.534295 0.050300 -1.001593 0.240843 -0.473037 -0.528556
-0.734615 0.082480 -1.036755 0.322141 -0.625647 -0.411108
-0.513165 0.092245 -0.424535 0.158755 -0.456940 0.032405
-0.810726 0.112265 -1.005066 0.234647 -0.683630 -0.321436
-0.537625 0.182120 -0.327166 0.207585 -0.475574 0.148408
0.470445 0.027395 -1.168402 0.409937 0.292405 -1.460807
-0.670526 0.060270 -1.089199 0.389868 -0.576821 -0.512378
-0.057076 0.099215 0.425208 0.072431 -0.109476 0.534684
-0.680936 0.064215 -0.913525 0.219858 -0.584752 -0.328773
-0.541475 0.050575 -0.755424 0.174563 -0.478507 -0.276917
0.200154 0.035910 0.099257 0.087101 0.086490 0.012767
-0.857426 0.072380 -0.788037 0.149593 -0.719208 -0.068829
1.446135 0.044300 1.007879 0.291140 1.035716 -0.027837
-0.421235 0.088135 -0.487439 0.201493 -0.386904 -0.100535
-0.712445 0.083595 -1.007817 0.231838 -0.608757 -0.399060
-0.465595 0.043920 -0.592938 0.118706 -0.420699 -0.172239
-0.632915 0.195565 0.164607 0.106366 -0.548169 0.712776
-0.226235 0.030580 -0.966417 0.298843 -0.238347 -0.728070
-0.468145 0.100775 -0.384158 0.176788 -0.422642 0.038483
-0.071356 0.201190 0.263319 0.148242 -0.120355 0.383674
0.599295 0.059680 0.769749 0.139320 0.390567 0.379182
-1.278565 0.148425 -0.386357 0.105960 -1.040045 0.653688
-0.167645 0.113320 0.265638 0.160821 -0.193712 0.459350
-0.135706 0.027850 -0.633161 0.201982 -0.169379 -0.463782
-0.611106 0.040120 -1.191605 0.306069 -0.531554 -0.660051
0.403444 0.033355 -0.533754 0.408937 0.241362 -0.775116
-0.098045 0.087025 -0.032943 0.162608 -0.140688 0.107745
-1.303636 0.217280 -0.827746 0.170549 -1.059144 0.231398
